cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
-0.3913556549261127	nan	nan	0.23005907334405973	nan	nan	2.331908471309038	nan	nan	8.006290863368204	nan	nan	-7.690676166922021	nan	nan	-15.612407233715585	-15.987638109042404	-14.34473535761147	3.593319864964488	nan	nan	0.009888809328626678	nan	nan
-0.9553671763914182	nan	nan	0.26806779201373965	nan	nan	1.3712259225484473	nan	nan	9.994703020781868	nan	nan	-7.662018228570011	nan	nan	-15.727888988260641	-15.984621852029491	-14.339881445011287	2.3928230844467966	1.6550548965460214	6.266574594330546	0.3703737221517118	nan	nan
-0.381715463533405	nan	nan	-0.037784841943028225	nan	nan	1.46168425482801	nan	nan	8.006548957016872	nan	nan	-6.572312121619629	nan	nan	-15.985762217464375	-15.985762217464375	-14.435865043418827	0.8008679081310682	nan	nan	2.727760884827614	nan	nan
-0.21940283216964074	-0.635762529240729	0.6053631771192198	-0.6399476730396871	nan	nan	2.812860519275225	nan	nan	9.296895719738718	nan	nan	-7.679428435610034	-7.7525011335966365	-7.60873854299256	-14.061310516749966	-14.47111141851569	-13.523334002537693	1.070664807756451	nan	nan	0.14492740295811246	nan	nan
-0.08550992841201188	-0.993717725765898	0.4116478323466297	-0.1427501040704131	nan	nan	2.4526357819729054	0.02019359453791791	4.220435317268492	9.000408720992917	nan	nan	-7.57599179595316	nan	nan	-15.668446661518304	nan	nan	5.1850295512693405	nan	nan	0.009958393572117776	nan	nan
-0.2577562888564078	nan	nan	-0.1429839361940688	nan	nan	3.3533932369218338	nan	nan	9.487900147698284	nan	nan	-7.662039927066246	nan	nan	-14.073822703781921	nan	nan	5.606208839555994	nan	nan	1.3915461710189958	nan	nan
0.7558765372330667	nan	nan	-0.028256755246195975	-0.8775250694352241	0.5567461434529659	0.5003847513600872	nan	nan	8.092403996432708	nan	nan	-7.681136612192335	nan	nan	-14.553158962216193	nan	nan	0.29050607601728384	nan	nan	1.541281989987204	nan	nan
-0.03785222396727739	-0.5083759151736464	0.5086072720725657	-0.573126964624664	nan	nan	2.8127225036472456	nan	nan	8.94310479175605	nan	nan	-7.652665568425045	-7.722848821064493	-7.581488218722714	-13.821397168166625	-14.436952715154332	-13.515192364554341	1.5815007841269653	0.019742919583756843	4.364553298742963	0.9261938722030996	nan	nan
-0.31511255039154307	nan	nan	-0.15270388029038018	-0.9936349322291034	0.08565931859248721	3.022601689034894	nan	nan	8.751882428663551	nan	nan	-7.661899020608103	nan	nan	-13.880887246143072	-14.549878608923779	-13.446471090937678	5.425628522846539	nan	nan	1.2110546271504898	nan	nan
-0.7069386121639243	-0.9056727274922887	-0.6359905329916982	-0.14338475460416344	-0.323053672212644	-0.04778658052265994	4.213984397697025	3.584626797489211	4.3953141617172955	9.096028353616981	8.39169055024126	9.87076016670332	-7.696783708315977	-7.7218960167827495	-7.662254284174166	-13.633175033066683	-13.814610397853675	-13.456094117034578	5.155470518108937	nan	nan	3.0131579162356887	nan	nan
-0.8502902248149156	nan	nan	0.21079064288683735	nan	nan	1.7917399324131238	nan	nan	8.608628414318684	nan	nan	-7.719322052730427	nan	nan	-14.14293468872297	nan	nan	0.6800958231967333	nan	nan	1.3316217762425102	nan	nan
-0.8502332637206127	-0.993590313768041	0.385500531071019	0.4210028226329805	-0.5971287319378089	0.8358118895928763	2.5421784814771815	nan	nan	8.082873028294852	nan	nan	-7.671333794700019	nan	nan	-15.73573225385922	nan	nan	4.164205266830101	nan	nan	0.08482750513104007	nan	nan
