cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
0.6777085650274776	0.6349386946653252	0.7006024129098949	-0.05069380686509295	nan	nan	5.049423746737643	4.993134554187243	5.049423746737643	9.048347556620543	nan	nan	-7.81999741746046	-7.81999741746046	-7.811847386244001	-12.566152315614117	-12.622865464523388	-12.446335803833968	0.812494513691081	nan	nan	1.9174828178763503	1.7688701366231847	2.033625501544791
0.2914625258135175	nan	nan	-0.9977928790644185	nan	nan	5.46256732774696	nan	nan	8.006287901478244	nan	nan	-7.817814863337982	-7.819842407401584	-7.815525255755954	-12.762889933844058	-12.793927126214378	-12.697033706335603	2.3330596798169267	nan	nan	0.008486296539166499	0.008486296539166499	0.13183347732908848
0.49751611624719394	0.4517428255066076	0.5050404928072904	0.9975936437598198	0.9650779786579539	0.9975936437598198	4.775011223587551	4.758297601735807	4.83109273988054	9.99436660447534	nan	nan	-7.656570259730148	nan	nan	-12.762570076187485	nan	nan	5.783892128540677	nan	nan	0.3455142615609616	nan	nan
0.9991667809737619	nan	nan	-0.9989100271266669	-0.9989100271266669	-0.9930769085631745	4.904102366737023	4.796755506586651	4.904102366737023	9.841599542745236	nan	nan	-7.818057032431534	-7.835715159567707	-7.802422232363049	-12.7400460088204	nan	nan	3.574517427927516	3.5081672213673687	3.645014522397672	3.0337647616383485	nan	nan
0.9974183098949498	0.942534300856118	0.9974183098949498	0.5115756490167779	0.4986474856052224	0.5229502133917516	4.319879185192939	4.281452713220129	4.319879185192939	9.860737578520222	nan	nan	-7.81765585361628	-7.81765585361628	-7.816077653845214	-12.40868944835585	nan	nan	3.543890942234942	nan	nan	1.1296031793254577	nan	nan
0.20515938354208418	nan	nan	0.6375406603493408	nan	nan	5.585115523000391	nan	nan	8.369628280533115	nan	nan	-7.8181364687177135	-7.823450219750016	-7.811624127226998	-12.5876439615765	nan	nan	4.344266748380721	nan	nan	1.0610321896665857	0.4162991732068787	1.192852602915615
0.9972093613747429	0.9819067344021192	0.9972093613747429	0.8279602744978147	nan	nan	6.071633616866135	5.911113768787394	6.071633616866135	8.656400960555313	nan	nan	-7.8237885377500955	-7.8237885377500955	-7.803966222654298	-12.561193663816516	-12.727186585960684	-12.482160854286224	6.2665994700851595	6.152280631837361	6.2665994700851595	1.0581897476561712	nan	nan
0.2534842154288306	0.16770241784534323	0.34354841164363087	0.018353564078370466	-0.024701977244806356	0.0608735887184232	6.129811952183541	6.030917828043735	6.129811952183541	8.809287930467677	nan	nan	-7.817008000855039	-7.82973822968249	-7.804517965024332	-12.321770548752983	-12.365435142455764	-12.271403947644659	3.7144297601979166	nan	nan	1.0213167621431185	nan	nan
0.49790795150432854	nan	nan	-0.9362483948200693	-0.9937200547429834	-0.7682084203049744	5.130432178706388	5.054821147505287	5.341717088428904	8.790176039679896	nan	nan	-7.817642122879442	-7.825887908412431	-7.809347255289709	-12.73662487027245	-12.794921672816532	-12.666960191232274	4.129433929515778	nan	nan	2.472626157658314	nan	nan
0.9947227047967918	0.8979284344405709	0.9947227047967918	-0.3902578997461331	-0.46905332479945916	-0.27277250550494647	1.1625352952886594	nan	nan	8.847432648211292	nan	nan	-7.817308528827992	-7.817308528827992	-7.802078533789658	-12.350805679840144	nan	nan	2.497810065870875	nan	nan	2.3309792246239294	nan	nan
0.9986996896226364	nan	nan	0.9948251536662033	0.9459227911084622	0.9948251536662033	5.594907953843179	nan	nan	8.809325310029557	nan	nan	-7.8166132250708635	-7.8166132250708635	-7.801519721625602	-12.615243627570809	-12.650770513199097	-12.586010075968105	5.764169998324243	5.644353894153329	5.8362518791757285	1.891774638234177	1.8176310803019327	1.9437239074432822
0.9352429942972308	0.7893695849688833	0.9812227517591804	0.32219302142662853	nan	nan	1.0447899975869364	0.9532355452017003	1.1377749882906916	9.879936143666079	nan	nan	-7.82960842860811	-7.82960842860811	-7.802769976004101	-11.952552212444939	nan	nan	6.277185527695941	nan	nan	3.140125767456975	nan	nan
0.9922315346785784	0.9728966747886008	0.9989811584947161	0.99473329373583	0.9570613257564387	0.99473329373583	6.281170986939594	nan	nan	8.818851782239424	nan	nan	-7.818708753015904	-7.829218683346318	-7.806523326545858	-12.63392776740444	-12.687336532394207	-12.577024971060204	2.8648502900891146	nan	nan	2.7150601631842886	nan	nan
0.9965876428640429	nan	nan	-0.9247169193465096	nan	nan	0.07911622412327415	0.019583353989287223	0.20996451160526627	9.994533578802532	nan	nan	-7.81611762995964	-7.81611762995964	-7.80242356214886	-12.589571171218365	-12.626216386885286	-12.547429173201406	4.435570450893662	nan	nan	2.0206554546402753	2.0160177075806396	2.0315399630455437
0.9951308777961337	nan	nan	0.9945719524132293	nan	nan	6.276301187240441	6.226264110505376	6.276301187240441	8.904952712718627	nan	nan	-7.816572732417989	-7.828089147282506	-7.804979026178543	-12.643397839660771	nan	nan	2.9323805826209988	2.731017279510854	3.052366128879075	1.9109761316215714	nan	nan
0.9926049125942804	0.9523869248974378	0.9926049125942804	-0.9555946470012152	nan	nan	0.5087996421186153	nan	nan	8.66585491234567	nan	nan	-7.817577135686163	-7.820838061450196	-7.815179914583955	-12.576042877683982	-12.620902299583053	-12.428930361750265	0.9393414566281155	nan	nan	3.140018951699412	nan	nan
0.3764710155513562	nan	nan	-0.9944709010828248	-0.9944709010828248	-0.9594532618195788	5.144091902282714	5.116641268920268	5.144091902282714	8.95278461078188	8.006514396274401	9.48248913934837	-7.819359537657044	-7.829301881128635	-7.80717456031968	-12.775928068794254	-12.800508731950465	-12.744548498807603	5.403718385746894	nan	nan	0.37752526965921007	0.37752526965921007	0.39684886861380864
0.998232128648953	0.8797931461113053	0.998232128648953	-0.999055837227244	-0.999055837227244	-0.9931359595371414	4.448704751266151	nan	nan	9.870053190889346	nan	nan	-7.818124732612552	-7.818124732612552	-7.809449606819127	-12.612560566192608	-12.64489308898864	-12.612560566192608	3.1054017139932983	3.047530622616008	3.173026360097098	0.21513420602429	nan	nan
0.994847004796519	0.8660304562616776	0.994847004796519	-0.9987151609685565	-0.9987151609685565	-0.9916381476592928	5.645980635725387	nan	nan	8.952775155058601	nan	nan	-7.817556873510545	-7.817556873510545	-7.805988169295621	-12.731638278885924	-12.768801187863664	-12.571837770281643	4.249757100343348	nan	nan	2.8710635965970646	2.8602523918431086	2.9123307562066767
0.21564218849791872	nan	nan	-0.996496467726226	nan	nan	5.720981114441725	nan	nan	9.879767487257514	nan	nan	-7.820915808556288	-7.831196531816314	-7.80110399810728	-12.69839357493854	-12.767579265303233	-12.62180662467437	5.159317065354043	nan	nan	1.5842158948801823	nan	nan
0.4178343674039431	nan	nan	0.7020321378914358	nan	nan	4.324313008193103	nan	nan	8.828581822641018	nan	nan	-7.818973668663187	-7.842235575137834	-7.795551335247335	-12.584441801359507	nan	nan	0.001045784963461802	nan	nan	0.2554971069117127	nan	nan
0.9652390429626776	nan	nan	0.9947365114390851	0.8760169744264397	0.9947365114390851	6.147289732567808	5.97074495443321	6.273232504230707	9.344749437973395	nan	nan	-7.814522173343019	-7.814522173343019	-7.79670026624757	-12.655580790348631	-12.70839354134505	-12.57345908638637	5.890641495483823	5.676161270913317	6.209349469634939	0.5222066003955431	nan	nan
0.2514594496310509	0.15458560222421736	0.2514594496310509	0.5869042475743267	nan	nan	5.3208224208595	nan	nan	8.60873908546728	nan	nan	-7.816761320357081	-7.816761320357081	-7.805961324190233	-12.564095164926039	nan	nan	1.5981141792402662	1.5608091960220674	1.616460892298397	1.649860440757349	nan	nan
0.4295474061318694	nan	nan	-0.06854049354340697	nan	nan	5.136540032935864	5.124610058665359	5.179961275321222	8.598896043980316	nan	nan	-7.818476351606865	-7.8269409594757455	-7.810011743737984	-12.347065210810754	nan	nan	1.2874149281683023	nan	nan	1.7397352448981136	nan	nan
0.9984097885444638	0.9877729239725039	0.9984097885444638	-0.9978666372612417	-0.9978666372612417	-0.9465295755225932	6.268556366683332	6.1848262169477906	6.268556366683332	8.2739806431792	8.22227764173459	9.688853163480747	-7.815214317992956	-7.815214317992956	-7.803809982800338	-12.617733638387701	nan	nan	0.6932460571141668	0.5728895462428866	0.797491853931811	0.23378613905381915	nan	nan
0.6833382865902614	nan	nan	-0.7844270661715118	nan	nan	4.660048964894449	4.608591203108203	4.731462024279721	9.994652382723435	nan	nan	-7.815934671827393	-7.825125232322351	-7.815934671827393	-12.647843430767193	-12.772948080960793	-12.55522609292455	1.9045453143450866	nan	nan	0.0056172363412196015	nan	nan
0.962923735679708	0.8933822922495114	0.962923735679708	0.9950308445038543	0.9438035865773027	0.9950308445038543	0.06390063643862068	nan	nan	8.187842592092895	nan	nan	-7.816295087310554	-7.8274628412565335	-7.804974350433807	-12.619711432419745	nan	nan	3.709554971855907	nan	nan	1.6503635203450435	nan	nan
0.9257561510755512	nan	nan	-0.9968852407441253	nan	nan	4.860134992672738	4.766427018543134	4.933397590628609	8.360116992724155	nan	nan	-7.815591062237018	-7.815591062237018	-7.799397949203846	-12.753819851284193	nan	nan	3.4499218905188003	nan	nan	0.4068222232057795	0.3837245858465502	0.43290330539057587
0.2756415055404066	nan	nan	0.9317709838404189	nan	nan	4.94439395953011	nan	nan	9.650654359045387	nan	nan	-7.8160574548530715	-7.8160574548530715	-7.803487815347703	-12.451501826353367	nan	nan	2.4266581868191244	nan	nan	1.853059711868254	nan	nan
0.9954116409283635	0.9432235113430523	0.9954116409283635	-0.9988329038257602	nan	nan	3.347203882238095	nan	nan	9.631413888971844	nan	nan	-7.816619945509981	-7.816619945509981	-7.80499600689815	-12.500055801826434	-12.558330663572406	-12.436483225376286	3.796751180623605	nan	nan	1.3453680163154036	nan	nan
0.9626115275595692	0.8662995054676268	0.9626115275595692	0.9971423105283087	0.9717440379072688	0.9971423105283087	0.507726166900273	nan	nan	9.7270563264677	nan	nan	-7.8170204700002035	-7.819235259333504	-7.8170204700002035	-11.983349282361456	nan	nan	4.027527767607093	nan	nan	2.262792251197187	nan	nan
