J0024-2029_cw_p_phase	J0024-2029_cw_p_phase_ll	J0024-2029_cw_p_phase_ul	J0114+7148_cw_p_phase	J0114+7148_cw_p_phase_ll	J0114+7148_cw_p_phase_ul	J0234+0837_cw_p_phase	J0234+0837_cw_p_phase_ll	J0234+0837_cw_p_phase_ul	J0354-4032_cw_p_phase	J0354-4032_cw_p_phase_ll	J0354-4032_cw_p_phase_ul	J0444+4032_cw_p_phase	J0444+4032_cw_p_phase_ll	J0444+4032_cw_p_phase_ul	J0604-0837_cw_p_phase	J0604-0837_cw_p_phase_ll	J0604-0837_cw_p_phase_ul	J0724-7148_cw_p_phase	J0724-7148_cw_p_phase_ll	J0724-7148_cw_p_phase_ul	J0814+2029_cw_p_phase	J0814+2029_cw_p_phase_ll	J0814+2029_cw_p_phase_ul	J0934-2644_cw_p_phase	J0934-2644_cw_p_phase_ll	J0934-2644_cw_p_phase_ul	J1024+5812_cw_p_phase	J1024+5812_cw_p_phase_ll	J1024+5812_cw_p_phase_ul	J1144+0251_cw_p_phase	J1144+0251_cw_p_phase_ll	J1144+0251_cw_p_phase_ul	J1304-4835_cw_p_phase	J1304-4835_cw_p_phase_ll	J1304-4835_cw_p_phase_ul	J1354+3322_cw_p_phase	J1354+3322_cw_p_phase_ll	J1354+3322_cw_p_phase_ul	J1514-1428_cw_p_phase	J1514-1428_cw_p_phase_ll	J1514-1428_cw_p_phase_ul	J1724+1428_cw_p_phase	J1724+1428_cw_p_phase_ll	J1724+1428_cw_p_phase_ul	J1844-3322_cw_p_phase	J1844-3322_cw_p_phase_ll	J1844-3322_cw_p_phase_ul	J1934+4835_cw_p_phase	J1934+4835_cw_p_phase_ll	J1934+4835_cw_p_phase_ul	J2054-0251_cw_p_phase	J2054-0251_cw_p_phase_ll	J2054-0251_cw_p_phase_ul	J2214-5812_cw_p_phase	J2214-5812_cw_p_phase_ll	J2214-5812_cw_p_phase_ul	J2304+2644_cw_p_phase	J2304+2644_cw_p_phase_ll	J2304+2644_cw_p_phase_ul	cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
1.6772220179514261	1.4494206663973928	2.4941197545448466	1.3319546414594017	0.8010275889976195	2.146292489709131	0.5806215772016349	0.009959875892338006	1.49955246130232	0.32510564222707233	0.009929231668759093	2.0724761483353022	3.133295145045824	nan	nan	1.465519778765828	0.5759237043795228	2.2096590915156358	2.5625206615153373	nan	nan	2.8181533868277944	nan	nan	2.908032084543439	nan	nan	1.7850370270385885	1.228241711736036	2.116477080173477	2.033601105035961	1.5913363526333704	2.716761647980145	1.31600586578443	0.6130547637389303	2.066111839624186	2.227443724504612	nan	nan	0.08523364331289149	nan	nan	0.3554675097317331	nan	nan	2.3821563727020814	nan	nan	0.12983859936850398	nan	nan	0.9313853824689718	nan	nan	1.421447144355423	0.5501550153099789	2.158141815473058	0.8212380932335815	0.010573463494219159	1.8661086059870124	0.6423004598770758	0.6229901470112249	0.6423004598770758	-0.2186114770981502	-0.3413187880807691	-0.03768267922287738	5.3118283100469075	5.244583508087664	5.3118283100469075	9.193217067823703	9.14822077561694	9.238523679287066	-6.70136992945932	-6.716952575822654	-6.684107716422094	-13.494188710830596	-13.576677739445117	-13.406826912593273	4.593512067904357	nan	nan	2.4147606072695127	2.351303616559068	2.517094410470546
1.8127274404849434	nan	nan	2.4425256022799893	nan	nan	0.9108295550751259	nan	nan	1.0654710503685874	0.5854219584820218	1.6256314275635426	0.13033683278144662	nan	nan	0.8056773249303192	0.13421038293778945	2.0024500327049117	1.796627949346311	0.8610211032154333	3.132896872775559	1.1811669559000997	nan	nan	0.7459513145792807	nan	nan	0.6559789813195731	nan	nan	2.0851731841302183	1.2499083223528764	2.345294332648575	1.5526804262208316	0.7774930161747933	1.7022978068924997	1.9761330186622281	nan	nan	0.08520219649034623	nan	nan	2.682036162814247	nan	nan	2.4422206639291546	nan	nan	0.5802559886162398	nan	nan	0.6107367321133088	nan	nan	1.4666162314571414	nan	nan	0.3403021080275566	nan	nan	-0.3864977086907144	-0.41039431840215324	-0.3653234975539965	-0.01609646530428599	-0.12378339892904477	0.09380678535633336	2.279658060456054	2.279658060456054	2.309347930172262	9.367556227108276	9.324608671762734	9.367556227108276	-7.307910667103171	-7.307910667103171	-7.297534059462802	-14.030702679025465	-14.09550996236474	-13.961288242842164	2.403955072807164	nan	nan	0.6571801648177803	nan	nan
0.7008358835039188	nan	nan	1.2412389874428285	nan	nan	2.277447065749863	nan	nan	0.20576817338778486	nan	nan	1.2413798699188177	nan	nan	0.8658787645839554	nan	nan	1.451515973760248	nan	nan	0.986348071032306	nan	nan	2.41259320031988	nan	nan	0.6714541713309963	nan	nan	2.2776725061525758	nan	nan	1.5711925643067812	nan	nan	2.487528130806491	nan	nan	2.007639937342276	1.1718549754320693	3.132627086520405	2.98297284298974	nan	nan	2.2181161509519938	1.2444547288007564	3.1325220733566796	1.5570110574346216	0.7885630840731344	2.6923531261637432	0.9863817433274046	nan	nan	1.1061879759311026	nan	nan	0.43034028503316485	nan	nan	-0.08903035540593598	-0.09128543987309362	-0.08779841111369246	-0.2901979657412378	-0.6714985765881161	-0.10161033750166892	5.152327969983963	5.085476314348142	5.219640671520721	9.086612407990193	9.048479930131982	9.125006067203596	-6.514934869458294	nan	nan	-13.638173498763013	-13.694304372568384	-13.496570612572192	5.937708169632943	nan	nan	1.5596847358446877	1.260911399999934	1.7918774968476332
0.5056098619319179	0.00989295928725569	2.291377683242273	1.7966958685060157	nan	nan	1.241254145085374	nan	nan	0.010401538699821508	nan	nan	1.6021464124759532	nan	nan	0.25019926165993506	nan	nan	2.9526824944562153	nan	nan	3.133028125825522	nan	nan	1.8581113505008795	nan	nan	2.052368871477145	1.569961294437326	2.7575701160502315	1.1359174232327485	0.08051390932239516	1.7993317658032102	0.05524447456746075	nan	nan	2.50228877036659	1.5472759219105754	3.132409992926294	2.6525224090408357	1.324415082502426	3.0593216207191496	2.9678336966841887	0.7948075377838267	3.1330199070676192	2.847463707191992	nan	nan	1.2862149364772504	nan	nan	0.5503587229805208	nan	nan	1.2113227326919045	nan	nan	3.133284586911813	nan	nan	0.9503520021949581	nan	nan	0.09141396038726954	0.007136509311509109	0.18641013689684435	1.9280524311838398	nan	nan	9.260763738603359	nan	nan	-7.473674644782319	-7.473674644782319	-7.471171207012174	-14.218062916820733	-14.28159794307989	-14.147432608441264	3.5396523344590336	nan	nan	1.835004733084152	1.753879939038494	1.914588695334071
1.2412283345460673	nan	nan	1.856905693527751	nan	nan	2.8024547269780773	nan	nan	2.1425632991970947	1.7322384909154998	2.685190555167965	3.1332599765009808	nan	nan	1.6023138374081867	nan	nan	1.181350614283934	0.0106493328293798	2.214652972334913	2.8023458949901743	nan	nan	2.6523446248913176	nan	nan	1.9621632376961498	1.6046818783993992	2.437454495697496	0.3272547990256538	nan	nan	1.844613305512268	nan	nan	1.705799080619696	0.9083197113366894	2.627816324009912	1.6968179631873486	1.222841131341336	2.328372666342166	0.8768333551085367	0.6151711333567547	1.628923616475827	2.847743125327577	nan	nan	2.2624398022258827	1.6896321379056363	3.005153338623672	2.9978751481712878	nan	nan	0.9768173801003484	nan	nan	1.3469486982051586	nan	nan	-0.4003317945661533	-0.42346805162407325	-0.3754759508350095	0.0281535081092944	-0.09395039193490273	0.0770437150991024	3.213401540146282	3.14201928870372	3.2811967437776604	9.702582198827566	9.649696486370987	9.702582198827566	-6.754242370428538	-6.775969581403739	-6.732515159453338	-13.618599780848216	-13.678806613326469	-13.54296389937832	6.052996237310188	nan	nan	2.059860720365019	1.9800339704922294	2.1223233433772624
0.00987603990544501	nan	nan	2.112671072552734	1.4778309757922763	2.8532139162688863	3.027651366085025	1.248592207326933	3.132559031466337	0.1344098658490665	0.01432045369248539	0.279452922090132	0.4762972368091553	0.01096230094792908	0.9204096537981056	2.79892563716316	2.422209459632405	2.9985103669807787	0.13213124094740658	0.02984948966630906	0.23534849605119706	0.5462739920899635	0.40258233945575866	0.6654029690602017	2.9058300712557537	2.802612342727363	3.0096479028569845	2.6257527940431036	2.396051158640434	2.7467783868896714	0.11224772346859832	0.02448495592033626	0.20793351864274512	0.17819004113278175	0.0777672890258061	0.41241046592827985	0.33775894561563924	0.23542840862513204	0.4416213768724713	2.943485218870099	2.8445886200966637	3.0297949777996425	3.133190831773762	nan	nan	0.10343089724629174	0.013585116760220412	0.1932766777323631	0.13119302174764919	0.011066029302056716	0.2503839597066526	0.009914810326445757	0.009914810326445757	0.14922927637993347	3.133227047169184	nan	nan	0.024857878455782315	0.009864229429215788	0.2881838394848569	-0.6509275754681496	-0.7091567488975474	-0.5583658764063535	0.996824613314482	0.927209592995949	0.996824613314482	3.8752626011014626	3.7848634860992814	3.974374883814697	6.851319967680267	6.558109390866938	7.124468768185315	-7.654769212240247	-7.680088150961503	-7.629450273518989	-13.704059354402084	nan	nan	1.6331290553262034	1.3270037780454849	1.9939947535787153	0.8209129363011499	0.7240553716360741	1.3114234523284751
2.4133627351576794	1.4745194302651086	2.8796653068568134	1.4215297968865266	0.29342279573188695	2.260114320170084	1.8103416951398816	1.4068825771939992	2.5406182761940506	1.9470421731072811	1.2317888894652418	3.1329883381679027	2.397967033644979	0.5402963468341748	2.5352026115826476	1.3909655602122113	nan	nan	2.532659228404075	1.7848882521106162	3.084370202993247	1.616306227967622	nan	nan	2.4280258906887764	1.6248428765286471	2.81963996902151	0.670863673330936	0.038848462208068264	1.5149037502405762	2.757673760939125	nan	nan	0.47629711584531215	nan	nan	2.7125991580836537	nan	nan	1.541565906633897	0.5874719979343249	2.650251136055658	3.013026057356868	0.8229243383264906	3.133275509984748	3.131406171148331	nan	nan	0.5510074259744107	0.010400228710659128	1.4638871704007221	1.3755678296376448	nan	nan	0.7918522719149809	0.055719370415841206	1.5548331079047593	1.1584699832693566	0.6705300003898466	1.7749132440827833	-0.17162715130624284	-0.194051874799393	-0.1474774490828502	-0.14454007015736325	-0.26082094560407576	0.03282702519068881	1.2820620308067818	1.2820620308067818	1.3315661274779056	9.286979694531889	9.239868999635236	9.333772073922482	-6.905741030496227	nan	nan	-13.751200587547164	-13.870570682021073	-13.653500756377747	6.02754111569757	nan	nan	2.342848297139902	2.2408754004605567	2.4565086318340725
1.5714457722298034	nan	nan	0.1298692718173867	nan	nan	1.4731617136811517	1.242773330262479	2.1246254714942645	0.7293849954685607	0.4657788488366993	1.278408672023336	2.9529192830198534	2.2885650622031943	3.1331413730110205	2.770878865440229	2.5495782467801815	3.019334849154471	2.5148105650561243	2.376589251060533	2.9132498832781786	1.1103180785746403	0.9884487476407386	1.2554589400386338	1.3962067940230802	1.2715683615385631	1.5366109470843978	0.32568902407497236	0.010249343605105094	0.4837211808252227	0.7130820131182496	0.6061310325047898	0.8663885179069483	0.5501992032278019	0.21915879170562033	0.6554450699098541	2.599932183084641	nan	nan	2.9375324333315507	2.637878835296683	3.059890985862455	2.3829946571626004	1.8802073083921513	2.5191406201854054	0.06987784671835243	nan	nan	1.2905367804223629	nan	nan	0.7611052123620369	0.056984654275914856	1.404337296467319	2.053823405768657	1.7233549746755574	2.7721245993898838	0.8507992696930465	nan	nan	0.13013234422936223	0.1035756826162941	0.16819689254142647	-0.993507074227095	nan	nan	2.992539771146766	2.9298423731662786	3.0429032547704358	8.15038123044691	8.109117434155408	8.188894106985646	-7.6516090778068735	-7.664427252148487	-7.636985526797428	-14.253790173832696	nan	nan	2.5340565216484636	nan	nan	1.145968035444838	nan	nan
0.5819277304171917	0.33874097538491443	0.9793304764455473	2.378794838612405	2.1570604286216244	2.511343424889834	1.5418850065191532	0.7594251278681143	2.669988574582283	1.527515070584547	1.2227655887480162	1.9666495408797702	1.6918192664204974	nan	nan	1.2272396746745524	1.0857821994276406	1.8153247387937181	2.261607553798352	1.989984835729647	2.3766550017685626	1.0048494337193117	nan	nan	1.7738681718708116	1.659402451683955	2.111756287074795	2.4091391299934846	2.276057788954746	2.7510366267604542	0.8167701179251345	0.6973266032507562	1.0033236485763546	0.6506149056861844	0.5524562821791357	0.7611205258607865	0.8792161179404534	0.7967382162052776	1.0137372713240242	3.103042492168353	2.992166537273935	3.1330258489848717	0.5015123235963275	0.3874697163538942	0.5914483634541814	1.074298595549436	nan	nan	1.9578429489887204	1.821350976552352	2.1372933323927854	2.321439562730275	2.157804867624833	2.7659908541859335	2.236069158445353	2.0771984766331375	2.4655490321741085	0.010630945222914145	nan	nan	-0.06175078381700372	-0.09595620266929916	-0.009573026245705551	-0.9935505561675062	-0.9935505561675062	-0.7773458781968752	3.9925936019092996	3.882408365314125	4.11973041336527	8.10899059259713	8.052855049802025	8.15202784207338	-7.658139900521423	-7.679447541301891	-7.633099534348756	-13.94833030978715	-14.02510179495206	-13.838000031705839	0.2690120877097084	nan	nan	1.779958417732021	nan	nan
3.102884035102731	nan	nan	0.009906559510731626	nan	nan	3.133220674306317	2.9786033750283862	3.133220674306317	0.6316577660653528	0.34754443882163266	0.884338576975987	2.8764099551945796	2.797772103316635	2.9580265135830532	0.5627356315406984	0.43416141419142307	0.7404018227869699	0.8815709979735071	0.3355488823784023	1.5253089066968386	0.31269969688096233	0.24014892347823963	0.6319843241342948	0.32607144465013554	0.01100919755423886	0.6405091877874676	3.133297964546398	3.026158268858239	3.133297964546398	2.0983832593700495	1.875576549587334	2.2668110228337652	1.6448335368618023	1.0594567812597806	1.8187078207039868	0.44242198453275355	nan	nan	2.4713976050994373	2.2900180746841716	2.6415384727006765	0.5168349339290719	0.35621411384116053	0.6669804831416846	0.6747638279820046	0.3927841105998509	0.9841625676068428	0.00994987205362758	0.00994987205362758	0.14987722084921706	0.17518367425164577	0.009955005225002138	0.5097014521864952	1.721648352586807	1.1415570470195993	2.325780040569878	3.133298808273871	nan	nan	0.9737063750265937	nan	nan	0.3161958580818286	nan	nan	2.2421452754794537	1.7880930031735058	2.347764149373164	7.335903128728183	nan	nan	-7.654145875721745	-7.681606543531263	-7.631739318552015	-13.789859979353533	nan	nan	5.253755059257517	5.05980305361549	5.509771706704993	2.887198409488517	2.80283652778512	2.974014455023285
