J0000+0000_cw_p_phase	J0000+0000_cw_p_phase_ll	J0000+0000_cw_p_phase_ul	J0224+0000_cw_p_phase	J0224+0000_cw_p_phase_ll	J0224+0000_cw_p_phase_ul	J0448+0000_cw_p_phase	J0448+0000_cw_p_phase_ll	J0448+0000_cw_p_phase_ul	J0712+0000_cw_p_phase	J0712+0000_cw_p_phase_ll	J0712+0000_cw_p_phase_ul	J0936+0000_cw_p_phase	J0936+0000_cw_p_phase_ll	J0936+0000_cw_p_phase_ul	J1200+0000_cw_p_phase	J1200+0000_cw_p_phase_ll	J1200+0000_cw_p_phase_ul	J1424+0000_cw_p_phase	J1424+0000_cw_p_phase_ll	J1424+0000_cw_p_phase_ul	J1648+0000_cw_p_phase	J1648+0000_cw_p_phase_ll	J1648+0000_cw_p_phase_ul	J1912+0000_cw_p_phase	J1912+0000_cw_p_phase_ll	J1912+0000_cw_p_phase_ul	J2136+0000_cw_p_phase	J2136+0000_cw_p_phase_ll	J2136+0000_cw_p_phase_ul	cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
1.7813524558620164	nan	nan	0.340374878234755	nan	nan	2.082252183209332	nan	nan	1.2259430263435014	0.057421894559376366	2.328869547682647	1.571645159369772	nan	nan	2.321705073670004	nan	nan	2.2019437080919713	nan	nan	0.35542690450775094	nan	nan	1.826640042150118	0.7564529167857922	3.012092505885558	1.9768544418519909	nan	nan	-0.5071046943149222	-0.5369210185704281	-0.471438331756121	-0.0493227062998573	-0.13147966127977406	0.05017011991435372	5.349083505384133	5.270520304582149	5.440518643040678	9.207803876164698	9.169214524610181	9.250772161228946	-6.944298756451666	-6.965014347032579	-6.9184042682255225	-13.47869550042985	-13.555114007916302	-13.414011670122965	6.115184322684474	nan	nan	0.5258025717759967	0.4155396701666584	0.6064380455290863
1.8761862450469478	1.639766938284258	2.174108426361268	2.833053246563065	2.1340230926470967	3.1332176692231393	1.33114267943609	1.0044178405034416	2.5505822312458983	0.5656176086963683	nan	nan	2.487336038973311	nan	nan	0.9409838956356684	0.009863757219407712	2.2394295230749157	0.9860133713526096	0.19576543020860296	2.2935145103363297	2.277100611688824	1.1167984857108584	3.133194320250224	0.5060725204529005	nan	nan	0.010070800061019321	nan	nan	-0.6424226597007163	-0.6971331037785666	-0.542567708086235	-0.8698529768765921	-0.9941601666556901	-0.7678952224069606	6.2663829607326385	6.077727879530228	6.2663829607326385	8.089128794893538	nan	nan	-7.660468869070342	-7.6827397603966086	-7.632798973786191	-14.285136041774637	-14.343512483522272	-14.210010241213332	4.175649140216369	1.7987275480325395	4.862077447869056	0.1599913420846041	nan	nan
2.3218401572372454	1.2180084373998994	2.8907740733740614	1.9469685284340235	nan	nan	0.5064588775294043	nan	nan	2.097125983660852	nan	nan	0.295188713010069	nan	nan	1.0913592522970175	nan	nan	2.2469337120890756	1.3161844702905832	3.1330194835596537	1.5265090558419285	nan	nan	2.2178767344925334	nan	nan	2.679419151327983	nan	nan	-0.9926834310360854	-0.9926834310360854	-0.9659859222453303	0.07168133284863265	-0.13956411173641547	0.18023015379269236	5.428064122736038	5.3156587282442525	5.554404070263995	8.92141024981605	8.865253149000257	8.978243942207937	-7.493693011642684	-7.527626899376032	-7.46410533613134	-13.769110290065825	-13.87449187508444	-13.66905568626793	6.115265772740573	nan	nan	1.11065015281769	0.9160001076253955	1.233980421451528
0.42791482904357375	nan	nan	2.802691250280057	2.4756711697935647	3.124089209038987	0.5353738814509553	nan	nan	0.08529308251893247	nan	nan	2.7724355585980494	nan	nan	2.637575970471794	nan	nan	2.3972823722985668	nan	nan	0.7156681280103091	nan	nan	3.057995891721644	nan	nan	0.9188712150492377	nan	nan	-0.7054177851807977	-0.8465276867205889	-0.47876358609049696	-0.5350581276004394	nan	nan	0.019739785697675274	0.019739785697675274	0.4907863071601777	7.886935785645269	nan	nan	-7.660288624483084	-7.685768850879957	-7.629712352806837	-14.127985781562966	nan	nan	5.425957985788884	nan	nan	0.790461433788358	0.33106683999536196	1.281312877732603
0.5353214668716493	0.009961724726722243	1.3292955837161229	1.3199953499476091	1.1968816460552596	2.2784121587298234	0.11519998666745478	0.010255939058419414	1.8836321222697114	2.8327603112696065	1.2406312685438257	3.133256316586891	2.29239781687613	nan	nan	0.29507388822123914	nan	nan	0.9111942236365707	nan	nan	3.1331117013637506	nan	nan	1.9169109131756377	nan	nan	0.850798153178865	0.009901587209619943	2.0581032153895378	-0.5316396551279405	nan	nan	-0.21438133319909247	nan	nan	0.23453879273464848	0.03000284213468357	0.5902007127690088	7.996193231246198	7.705453210544623	8.252585683869663	-7.655267090302232	-7.682141411164009	-7.627288345295451	-14.228181484822933	nan	nan	3.267685609728272	nan	nan	1.1894088513498253	0.7737260822068919	1.7031532826496232
2.1270520071545147	nan	nan	2.637771821690977	1.684292437792707	3.1330938992745523	2.3825148507987906	1.2797777659030902	3.133287989311751	1.6464272130312667	nan	nan	1.5242347902331368	1.128539164753312	2.3768318610659223	1.678779967823412	0.687448453836424	2.099184309970048	0.7908120034126717	0.009949938426245402	1.790627791421292	0.565423294402045	nan	nan	0.2951111664733681	0.009967577770303382	1.748625144374861	0.7941156063569609	0.37236484684685317	1.4175461451745628	0.9883088744368018	0.9649635647696984	0.9883088744368018	0.5207499326013751	nan	nan	4.568243367993029	4.466348416949403	4.671276810109768	9.04481153083195	8.996381254956189	9.082352158877658	-6.80520091708947	-6.8308286675176735	-6.7695678120420375	-13.501871205791682	-13.641354314162248	-13.391034994983773	1.590640917959651	0.032747333641338236	3.0120630242916797	1.4004737549829889	1.2005681179817347	1.594615800022143
0.4757152953190507	0.009999079148589796	2.183966124451345	1.0919268538077909	nan	nan	2.8028544403038493	nan	nan	3.0427364747983527	nan	nan	3.057941165373126	nan	nan	1.8118931488013144	nan	nan	0.9707584808313159	nan	nan	1.3312274429898592	nan	nan	0.2200886873950597	nan	nan	1.2109157582380188	nan	nan	-0.3992985270324672	nan	nan	0.042046910171695595	-0.05334134424745096	0.136078014629594	1.513609854539517	1.5120598403018881	1.5150881088587371	9.248248358656518	9.245199557347725	9.252077631037574	-6.74650722271728	nan	nan	-13.450637795249513	-13.526623552507514	-13.377687132432628	5.87268404955623	nan	nan	1.1590341167309375	1.082724193004902	1.2799659450086374
0.44539650173116746	nan	nan	3.0122194152730133	nan	nan	3.133217851771587	nan	nan	2.0821806729293915	nan	nan	0.17512239654134673	nan	nan	2.577561492122471	1.2403352030423265	3.13325538800511	0.6255450272295967	0.009864293840499418	2.1867689265084946	1.0012792552949281	0.33975155012701935	2.566707422576117	0.9406477373028451	0.009866460065149591	2.0866331420629476	1.1507804382615978	nan	nan	-0.4704366336041319	-0.49777910485337096	-0.43967635344873796	-0.10112891396911317	-0.1858818142586075	0.08354142145292609	0.6167626408263176	0.6167626408263176	0.6776253106753864	9.583640607966387	9.536054521794	9.583640607966387	-7.03095131160099	-7.044159160102041	-7.03095131160099	-13.856710312015347	-13.930196482454269	-13.793796444399003	3.2225642797847915	nan	nan	0.06988741827534513	nan	nan
2.1871648322753936	nan	nan	0.7164734712565919	0.06612538830879822	1.0308760250388427	0.12989413144776674	nan	nan	0.4002527419820008	nan	nan	0.010130962956671286	0.010130962956671286	2.052842218369283	1.9768488675674722	nan	nan	1.1660020968968634	nan	nan	1.1059516113094574	nan	nan	2.7578045432512397	nan	nan	0.9613279683134852	0.5502969627951296	1.2235374028682982	-0.20259320113184492	-0.23233383439756516	-0.1700788300485963	-0.012398670270226175	-0.0516271081341446	0.022971232721831436	0.017726829936658056	0.017726829936658056	0.09350796934519	9.468132771859162	9.411934722062062	9.468132771859162	-6.760863833149947	-6.7744460623551355	-6.748964358005578	-13.014401775439993	-13.083826306543953	-12.934584350458191	1.5571290649127376	nan	nan	0.8151155070144743	0.765462671037901	0.8584588665962344
1.9032190990705349	1.584951998303194	2.1009940779026834	0.009864991707887336	nan	nan	2.0962729835350093	nan	nan	0.9867941007829869	0.5240290451025739	1.7284047669374951	2.8930857808814032	1.9463155170528312	3.1332924232054458	0.17522290231471682	0.009985427620557201	1.679227516024317	0.2652297578975896	nan	nan	0.3413306176911246	nan	nan	0.4993614157524199	0.26788007148190934	0.8072840028712481	2.472466762528266	2.236979986278957	2.835378743962878	-0.5189650089018317	nan	nan	-0.5490788513086362	nan	nan	0.019735851907543504	nan	nan	7.8895478993263195	nan	nan	-7.656649334116426	-7.683010028588217	-7.630469192346497	-14.216662466876436	-14.323126068439638	-14.056636432228641	3.4714349148627597	nan	nan	1.5274294558984791	0.9571201027459909	2.1788563791723834
