cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
-0.009071735033389823	-0.010549241478284177	-0.0064880979575706954	-0.014110581649658302	-0.016800045035807436	-0.010455687742082836	5.654756259430557	5.654524635554714	5.654735918181342	8.215018173710677	7.06266253699693	9.409878254897112	-7.914100284540829	-7.91462776502066	-7.913665051119511	-11.718256514707138	-11.773046075351406	-11.566137528227362	5.291553994219857	2.6771704645931695	3.4380422577366945	0.803408953625493	0.7993077036272824	0.8078286321655108
-0.605480095068849	-0.6066279410097117	-0.6039198658586733	-0.6079435720493334	-0.6114167111765645	-0.6030229366517699	0.030184895026203383	0.028399887481703762	0.031679632780043765	9.824943392481838	7.0773565867403825	9.437167555629875	-7.65560836248253	-7.6556501455297665	-7.655545988758478	-12.463567964502491	-12.465651854691263	-12.460976891273278	3.7854445100134075	3.729212328815335	3.881117170613198	2.2810073922403498	2.275214230764199	2.289086719035702
0.5388497719872875	0.5376196764721904	0.5404349150782893	0.6692139796054899	0.6652728977633018	0.6770690219104641	6.255467177353554	6.253964880464041	6.256881204244892	7.1649476306655835	7.061520124981623	9.433168223032629	-7.655230871319542	-7.6552905231946	-7.655190307321696	-12.515812649553364	-12.519286871744962	-12.512903999025458	0.12851889343957143	0.050646461193472755	0.20007519888629421	2.5198237705322453	2.51140921476204	2.53331778008013
0.0035918531021819277	0.0033369631042852862	0.005562151055745564	0.0037874503943998643	0.0034647581909641872	0.005780840808514262	1.3900342677445154	1.38737005175796	1.3932062015961502	6.710038857069765	7.062789207420414	9.456804002127004	-8.003913877432824	-8.004288320592167	-8.003408089033197	-11.593497084633606	-11.717679770148536	-11.495939693790557	0.8029897861942772	0.5454877854911325	1.1050090434609732	2.360174338058422	2.3597598191009044	2.3621290533376005
0.6087161864307492	0.6070772248465152	0.6098102978772364	0.6484352892657426	0.6432139650703198	0.653420475489721	6.279865518502398	6.278382260988052	6.28167985276239	8.564984292396527	7.094692246641683	9.458322173971899	-7.650163988654718	-7.65021776182383	-7.650116500621061	-12.500481564624545	-12.50276872532697	-12.497342202978466	0.12063680749043612	0.06682199226986174	0.215621460270737	1.9475765075175484	1.9382916805101273	1.956615026494636
-0.5773856422667608	-0.5787268534956888	-0.5759393483821122	-0.6483305510767033	-0.6547678662261001	-0.643981435544624	6.2467516831559395	6.2449290068167365	6.248394355788008	8.215021468028512	7.0585495765678585	9.41080892622179	-7.652240265932581	-7.652296217313026	-7.652185384720581	-12.50791328599738	-12.510438371688432	-12.504670799713413	1.5021349269125164	1.4340894539256985	1.5944381252089486	0.32135017133147203	0.31088661617627467	0.33018315318158536
-0.5878387757280484	-0.5890259287209687	-0.5864425453889015	-0.6584077037466551	-0.6645149369730537	-0.6534250923015316	6.239033225342617	6.2375780221134125	6.24096045239664	6.9199982515460166	7.044238579106013	9.428569178226661	-7.649026648473015	-7.649072083426413	-7.648966576728791	-12.506287104271568	-12.508957758624584	-12.503042310390612	2.4543656202266377	2.379581219049663	2.5360232029842935	3.108621391239135	3.0983378467723695	3.116903041764236
-0.5927820400353019	-0.5941723788205086	-0.5915103315556183	-0.6369163530519351	-0.6414986723077551	-0.6313497788499486	6.240032436049843	6.238439310533629	6.242057525458739	6.6752644115513835	7.0551284138724615	9.440497499736901	-7.649221000708609	-7.64926384114744	-7.649156651438716	-12.497545997255582	-12.499776618034797	-12.494350811389694	5.596989923457865	5.524442474258934	5.681568217328777	1.4052213790697148	1.3976155027869828	1.4139498669985813
-0.5799416588944565	-0.581358673074188	-0.5786247399608047	-0.7536329331319952	-0.7621641781192174	-0.7444798821327323	0.017965571185837744	0.01616875330441009	0.019389995029872657	6.850233499225909	7.048347348177978	9.427913879365686	-7.650680071759912	-7.650734017827914	-7.650629404959007	-12.547286113698725	-12.55081210107943	-12.541924996329382	3.6875197702267117	3.6128425635213377	3.7797793576105385	2.6154301734572747	2.597239039982957	2.6388069469526556
-0.5817848057052615	-0.5830763566034357	-0.5804875163830379	-0.8105552855638858	-0.824995568737009	-0.799115589913215	6.2692454856633395	6.267902892921926	6.2711485621867755	8.005165148736193	7.062165293201545	9.449181674801249	-7.652701030508946	-7.652754298809571	-7.652652978476471	-12.567744376740604	-12.57420856341289	-12.561745970545315	1.889865328557609	1.773424833232806	1.976780583603389	0.16501302356563757	0.1431255575700485	0.21444699990683336
