J0000+0000_cw_p_dist	J0000+0000_cw_p_dist_ll	J0000+0000_cw_p_dist_ul	J0000+0000_cw_p_phase	J0000+0000_cw_p_phase_ll	J0000+0000_cw_p_phase_ul	J0224+0000_cw_p_dist	J0224+0000_cw_p_dist_ll	J0224+0000_cw_p_dist_ul	J0224+0000_cw_p_phase	J0224+0000_cw_p_phase_ll	J0224+0000_cw_p_phase_ul	J0448+0000_cw_p_dist	J0448+0000_cw_p_dist_ll	J0448+0000_cw_p_dist_ul	J0448+0000_cw_p_phase	J0448+0000_cw_p_phase_ll	J0448+0000_cw_p_phase_ul	J0712+0000_cw_p_dist	J0712+0000_cw_p_dist_ll	J0712+0000_cw_p_dist_ul	J0712+0000_cw_p_phase	J0712+0000_cw_p_phase_ll	J0712+0000_cw_p_phase_ul	J0936+0000_cw_p_dist	J0936+0000_cw_p_dist_ll	J0936+0000_cw_p_dist_ul	J0936+0000_cw_p_phase	J0936+0000_cw_p_phase_ll	J0936+0000_cw_p_phase_ul	J1200+0000_cw_p_dist	J1200+0000_cw_p_dist_ll	J1200+0000_cw_p_dist_ul	J1200+0000_cw_p_phase	J1200+0000_cw_p_phase_ll	J1200+0000_cw_p_phase_ul	J1424+0000_cw_p_dist	J1424+0000_cw_p_dist_ll	J1424+0000_cw_p_dist_ul	J1424+0000_cw_p_phase	J1424+0000_cw_p_phase_ll	J1424+0000_cw_p_phase_ul	J1648+0000_cw_p_dist	J1648+0000_cw_p_dist_ll	J1648+0000_cw_p_dist_ul	J1648+0000_cw_p_phase	J1648+0000_cw_p_phase_ll	J1648+0000_cw_p_phase_ul	J1912+0000_cw_p_dist	J1912+0000_cw_p_dist_ll	J1912+0000_cw_p_dist_ul	J1912+0000_cw_p_phase	J1912+0000_cw_p_phase_ll	J1912+0000_cw_p_phase_ul	J2136+0000_cw_p_dist	J2136+0000_cw_p_dist_ll	J2136+0000_cw_p_dist_ul	J2136+0000_cw_p_phase	J2136+0000_cw_p_phase_ll	J2136+0000_cw_p_phase_ul	cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
2.497410369860679	2.4517895521965216	2.497410369860679	0.6413970362397676	nan	nan	1.503104599454872	1.503104599454872	1.527147597540357	1.3715193870148648	1.241024292992829	1.4600696293869606	1.5174951636849472	1.5031791968992296	1.8882190535734276	0.9977672413859623	0.8166784970908786	1.1426846103801074	2.49251493195562	nan	nan	0.6438463053626777	0.5148798787892355	0.7674884299216201	1.5939379370917857	nan	nan	0.7340527534798637	0.5370085435925337	0.959805391297798	1.5414176112194269	1.5032747787854173	1.9092376854463484	1.1121992439471275	0.9849097590856172	1.4334681590880212	1.5031688632951945	1.5031688632951945	1.765517914631273	1.7002330190773263	1.594997091587601	2.0551615715703475	1.8614493058851131	1.5031459182025522	2.051981232150708	3.0433728520159082	2.5204180566028023	3.1332898556451463	1.5031769341724739	1.5031769341724739	1.6282230308939973	0.44540975766097923	0.010034356331996369	0.5847049004104242	1.5031777589123265	1.5031777589123265	1.6712571053363052	0.6112974674624486	nan	nan	0.7603827594696682	nan	nan	0.9981909725505045	nan	nan	1.883375663692405	1.8333797261609244	1.9588662183757002	7.866255563325229	7.8254407115981275	7.866255563325229	-7.657771248536115	-7.665020826126326	-7.649817426265713	-12.916075467243012	-13.017693482907417	-12.916075467243012	0.019744876843066732	nan	nan	0.00987622247982171	nan	nan
2.419267822992939	2.3727173101655046	2.4911273525032507	2.0375088031047026	nan	nan	2.497354849750181	2.4767813362589215	2.497354849750181	0.40120451551706654	nan	nan	2.4975527561113195	2.484768502361052	2.4975527561113195	2.878213324026089	nan	nan	1.5026430505547437	1.5026430505547437	1.5201196502999583	1.691633348732864	nan	nan	1.5030182773530898	1.5030182773530898	1.5181145739320272	0.010085110805552801	nan	nan	1.7296135075656471	1.645124670638103	1.8625288729760519	1.166811394909954	nan	nan	2.3564808717771752	2.2502862575537237	2.442645896841044	2.2620485893807136	nan	nan	1.7823646978387493	1.7477936634001243	1.8387800672248569	3.130360607604814	nan	nan	1.5031421798632243	1.5031421798632243	1.5253098282428843	1.932093609674534	nan	nan	1.7193538292390114	1.6788521765606819	1.7776345799881281	2.0506428554554734	nan	nan	0.7744884805529213	0.7626153359336887	0.7844009223909962	0.19897988710198344	0.11841017771585838	0.27264362139786913	2.2800556880872556	2.2771781295102285	2.2829632212327935	8.856479389866776	8.828180700415867	8.856479389866776	-7.399599567357823	-7.399599567357823	-7.393226852843556	-13.326881380905052	-13.378381424964857	-13.270074080396336	2.1718128299197845	1.6594546668012509	2.3274158060187315	0.0556322936740655	0.010662859106143866	0.11871441716517779
1.503158165028435	1.503158165028435	1.7603458427526102	0.985443870865158	nan	nan	1.503140103278147	nan	nan	1.6370897310137984	1.2586405040926787	2.3138898250975073	2.49734910897354	2.4599912566068096	2.49734910897354	1.956642571137405	1.5133633733357104	2.239144956328601	2.182098820561838	1.7221744202683444	2.330041666108827	3.1386834635909695	nan	nan	1.5030835405103293	1.5030835405103293	1.5618157447897905	1.3562015922055457	nan	nan	1.5031552932426455	1.5031552932426455	1.624819531041333	0.8620817664935403	nan	nan	1.5031397971357368	1.5031397971357368	1.6311938903732632	0.8275970300401452	0.7159922289398577	1.0345732066261328	1.5031469199648422	1.5031469199648422	1.533419704251412	1.2640191449738827	nan	nan	2.4973622965655933	2.4414535910204576	2.4973622965655933	0.009889021179469068	nan	nan	1.5031253159558644	1.5031253159558644	1.5231100100634227	2.367471736509134	nan	nan	-0.7546147361927147	nan	nan	-0.9974181175849538	-0.9974181175849538	-0.8926750076950426	3.48485684238356	3.3876325168464714	3.6614110013506878	8.132642205413365	nan	nan	-7.726397808175218	-7.749277097286643	-7.709355072408544	-13.192812323288049	-13.254066604712888	-13.127409345511728	0.44696870561789037	nan	nan	0.21535375444824786	0.008104770602447768	0.48082412913165423
2.4972856031673403	nan	nan	1.0025841753410052	nan	nan	2.497323000356893	nan	nan	2.400008339708069	nan	nan	2.4973601747930436	2.3256565310933985	2.4973601747930436	1.2712369024612846	nan	nan	1.5031623164484125	nan	nan	3.0433542540426446	nan	nan	1.5031557937346163	1.5031557937346163	1.7071927792687231	1.9908195734963552	nan	nan	1.5031749048607437	nan	nan	0.11529111115084884	nan	nan	1.9572436933619124	1.5764321348034889	2.281778661282198	0.9258176234252984	nan	nan	2.497346901367827	2.2762326038397394	2.497346901367827	0.009910739026528	0.009910739026528	1.6850838153318657	2.4973600208784474	2.2716615381813146	2.4973600208784474	0.8363899823778914	nan	nan	2.497541266043861	2.464078952022006	2.497541266043861	2.755323745662099	nan	nan	0.07122642206939928	nan	nan	0.08965784949131173	nan	nan	0.4000517870969354	0.4000517870969354	0.5494790466915525	8.232298752856883	nan	nan	-7.710814758707764	-7.710814758707764	-7.702867292715183	-13.462662547393858	nan	nan	6.00756344871864	5.877466031593608	6.2683003555400605	2.547437930310182	nan	nan
1.503153103706004	1.503153103706004	1.861891277285482	2.8627643300446923	nan	nan	1.5031418059350252	1.5031418059350252	1.6511821638332733	0.2951857634093904	nan	nan	1.503160619314495	nan	nan	0.0864637512916737	nan	nan	2.4973555791711313	2.308415613440454	2.4973555791711313	0.01161752146663926	0.01161752146663926	0.22172490445458504	1.522277434320093	1.5031926161201112	1.8981091927270268	0.009857349878661402	0.009857349878661402	0.11689720882041213	2.4207464926370283	nan	nan	0.009409909207019106	0.009409909207019106	0.07247049360747017	1.6228658438533043	nan	nan	0.009614263675151506	0.009614263675151506	0.0875431182361138	1.5031926598050431	1.5031926598050431	1.665309770745059	0.010286781803596622	nan	nan	1.5270805701614405	nan	nan	3.1332753270202334	nan	nan	1.5031986780780635	nan	nan	3.0133435081222735	nan	nan	0.5279946121163688	0.49056477880719696	0.5557418244536698	0.997862525538445	nan	nan	3.2594084527139957	3.2284973789825813	3.293861420310468	7.6161606298877444	nan	nan	-7.72528678958923	-7.748582708588502	-7.7040708633577495	-12.62247746570006	nan	nan	3.632793953059962	nan	nan	1.634977610332895	nan	nan
1.5587298453484195	nan	nan	2.8285896728022655	nan	nan	2.204603120627643	nan	nan	2.2176470946113755	nan	nan	2.497354676960824	2.4564994812507432	2.497354676960824	0.5956340275180957	nan	nan	2.4973438072709895	2.4755710631211856	2.4973438072709895	0.58156249162078	0.1441572605201854	1.7551572551519257	2.4973596401410845	2.4620664342314296	2.4973596401410845	0.9422218726693905	nan	nan	2.4973378792254852	2.422666656094453	2.4973378792254852	0.8506718079089504	nan	nan	2.4973512404505813	2.459583575188564	2.4973512404505813	0.8507773581093759	nan	nan	2.4973594203204255	2.4735990453224836	2.4973594203204255	2.847550161340695	nan	nan	2.4973233746895227	2.467707663049371	2.4973233746895227	0.43960474267010424	nan	nan	2.1719736754249506	1.9148785874366456	2.203626833691361	2.847776030406462	1.0056279332020595	3.1329373075762854	-0.7907415082265827	nan	nan	-0.9962662237510598	nan	nan	6.259463022329724	6.207458877439516	6.259463022329724	8.924296624046601	8.888035883691776	8.924296624046601	-7.644619132102637	-7.644619132102637	-7.62980520488251	-13.483055853361913	nan	nan	6.2666220071631145	nan	nan	2.5579318259744115	2.5150586379349917	2.7391613461117377
1.7078317591774372	1.6722800921851058	1.7524191230062993	0.49149289024276943	nan	nan	2.498882646839375	2.491745758762349	2.498882646839375	1.4517529454403224	nan	nan	2.497356859977911	2.48294514203088	2.497356859977911	3.0125271802426745	nan	nan	1.9647337851129352	nan	nan	3.132953036605535	nan	nan	1.5025870442444966	1.5025870442444966	1.5164267985153232	0.7747423038145556	0.45424449254424965	1.5351148781950217	2.498693892392688	2.463226388568748	2.498693892392688	3.1323286123565874	0.8650873240163005	3.1323286123565874	2.497366104783956	2.4760419120187813	2.497366104783956	1.1663687695203189	0.2055198905958812	1.4267157367142698	2.195985572000106	2.139723291964557	2.2539377085031536	2.6074677311240504	nan	nan	1.7340137533145423	1.6802732962912976	1.7694999790119565	1.7224612883154207	nan	nan	1.5004015126258827	1.5004015126258827	1.5032364991323093	2.169845045259353	1.8849017209990624	2.2762985905588438	-0.8480889695314046	-0.8480889695314046	-0.8368371704688573	-0.6214788380844334	nan	nan	1.1832595497270013	1.1832595497270013	1.2294624048206624	9.056501810575035	9.024881000426552	9.056501810575035	-7.128469305490492	-7.133969910619303	-7.128469305490492	-13.128960672042087	-13.276743845047012	-13.057034902394932	1.899148032767777	nan	nan	0.25765717816906575	0.13132741785259927	0.3378569782745075
1.8214887649679323	nan	nan	1.0949569035205633	nan	nan	1.7397175272214869	1.712609358199544	1.7952420342798359	0.6557793338856323	0.01018251463214638	2.2290116408908616	1.9252016045499842	1.8567091750293354	2.006624758227924	1.6018626931845246	nan	nan	2.1166601895262906	nan	nan	0.6855671482035464	nan	nan	1.5032107091683728	nan	nan	2.3822432298834775	nan	nan	2.315637513440213	nan	nan	1.4665184336304367	0.009975097011205861	2.291153734654406	1.8139236967560577	nan	nan	0.3255197516033142	nan	nan	1.50314043347723	1.50314043347723	1.6050048823780074	1.4815200985213102	nan	nan	1.502172008478642	1.502172008478642	1.5178490704794578	2.0670623191523423	1.295951758479123	2.9989509926784796	1.5027522960733912	1.5027522960733912	1.5283232630653039	1.9169748273503944	nan	nan	-0.3292992504221905	nan	nan	0.9939903703577365	nan	nan	0.1523653530781501	nan	nan	9.698409176713916	nan	nan	-6.985553343380332	-6.986938508006194	-6.984128077486653	-13.56359250295581	-13.59813540236538	-13.518780092910962	2.5380599096643697	nan	nan	2.7005989938026445	nan	nan
1.5016138191149975	1.5016138191149975	1.5326473768644724	0.01003257146723466	nan	nan	1.5031298603796392	1.5031298603796392	1.5182679640411347	0.00996862046730453	nan	nan	2.1373724553212803	1.9607743208197506	2.2288590650841447	3.1324227059494376	nan	nan	2.498765115495291	2.4837034614337794	2.498765115495291	2.7849964694766722	1.44870718194271	3.1297547376823753	2.498113820322825	2.4798054092626547	2.498113820322825	0.8208695720824964	0.059851407683915746	1.1793631513724312	1.5031325800211879	1.5031325800211879	1.5293854835681413	0.28065637479171174	nan	nan	1.5013558218012022	1.5013558218012022	1.5156287810333677	1.2150438295586072	0.9626385658696318	3.072559603447474	1.5024779395489083	1.5024779395489083	1.5257326395609352	3.102973952134294	nan	nan	1.5030261070160407	1.5030261070160407	1.5202671147796947	3.1332279043351154	nan	nan	2.1066056555147994	nan	nan	0.010023141360798979	nan	nan	-0.8429156170625983	nan	nan	-0.8567852221613099	-0.9287754567096151	-0.7035979896324819	4.933907036416215	nan	nan	8.882344251020605	nan	nan	-7.625283761668309	nan	nan	-13.542771053713928	-13.63280978534798	-13.453615054742954	1.6952632327920745	1.6193762263057325	1.811132301621307	0.009864623518356538	nan	nan
1.5026057631050205	1.5026057631050205	1.5152303702823593	0.00994170817726072	nan	nan	1.687939896369627	1.6574411852988484	1.7261442265856766	0.11767996500267067	nan	nan	1.5414370808206788	1.518191348899346	1.5651315720455126	2.667627620293694	nan	nan	1.879594429037625	1.8561612459710721	1.9383128386292474	2.8325508933858083	nan	nan	2.4976874427939855	2.482283915828883	2.4976874427939855	0.46255426707266956	nan	nan	2.4972879706600595	2.4630864493283537	2.4972879706600595	1.0152894220797066	nan	nan	2.49752554706488	2.4469049165609973	2.49752554706488	2.697967224714494	1.1102026866707506	3.133065271900061	1.7392616274174215	1.7134849332581767	1.760443033481425	0.2053628542433505	nan	nan	2.497366934272299	2.4812098779177933	2.497366934272299	1.0277515710111522	nan	nan	1.8160760046257773	1.7966143308362257	1.852588171381396	1.496795281455357	0.051768357547255145	1.7161547993796487	-0.8736900448169482	nan	nan	0.9977810337249782	0.9232799737754716	0.9977810337249782	3.0103367527010363	nan	nan	8.991104349178325	8.959466181203297	8.991104349178325	-6.538196697275312	-6.539399081191818	-6.538196697275312	-12.911201949590525	-12.964601155757759	-12.844676681572128	4.364253849588571	nan	nan	1.0364766109650747	0.9975306730629708	1.0826005410717636
