3.192848020434227285e-09	-2.925855940740282840e-12	1.250499726325874007e-12	8.000000000000000444e-01
6.385696040868453743e-09	-6.557149044243991048e-13	2.850299070395033481e-13	8.000000000000000444e-01
9.578544061302680614e-09	-2.786496792761469245e-13	1.238012410081576902e-13	8.000000000000000444e-01
1.277139208173690749e-08	-1.595480929003297299e-13	7.063916885856133604e-14	8.000000000000000444e-01
1.596424010217113601e-08	-1.002019873297179904e-13	4.509038986727303510e-14	8.000000000000000444e-01
1.915708812260536123e-08	-7.094708900112965224e-14	3.095269259029845408e-14	8.000000000000000444e-01
2.234993614303958975e-08	-4.999300240296385690e-14	2.263094583594508517e-14	8.000000000000000444e-01
2.554278416347381828e-08	-3.976865501718736036e-14	1.794172903402201357e-14	8.000000000000000444e-01
2.873563218390804350e-08	-3.199642389401893812e-14	1.422397855978264191e-14	8.000000000000000444e-01
3.192848020434226541e-08	-2.598377359274724668e-14	1.164145510972352766e-14	8.000000000000000444e-01
3.512132822477649062e-08	-1.980191604311968026e-14	9.414415448175885056e-15	8.000000000000000444e-01
3.831417624521072246e-08	-1.846007555323317956e-14	8.084093592393628148e-15	8.000000000000000444e-01
4.150702426564494767e-08	-1.442506061724955524e-14	6.634615404225205035e-15	8.000000000000000444e-01
4.469987228607917289e-08	-1.155188539748256508e-14	5.538108286229485365e-15	8.000000000000000444e-01
4.789272030651340473e-08	-1.088092992804196509e-14	5.031000776270501275e-15	8.000000000000000444e-01
5.108556832694762994e-08	-9.776071565222482471e-15	4.357164413736397059e-15	8.000000000000000444e-01
5.427841634738185516e-08	-9.176890088264524836e-15	4.141444626933582938e-15	8.000000000000000444e-01
5.747126436781608038e-08	-7.476335554004682687e-15	3.316321878709191509e-15	8.000000000000000444e-01
6.066411238825031221e-08	-6.594726538666128907e-15	3.132249967875296209e-15	8.000000000000000444e-01
6.385696040868454405e-08	-5.652974063830494864e-15	2.756291994922206583e-15	8.000000000000000444e-01
