3.192848020434227285e-09	8.166382632725236121e-12	1.909586350206478153e-12	8.000000000000000444e-01
6.385696040868453743e-09	2.010391059078421202e-12	4.895930364384201848e-13	8.000000000000000444e-01
9.578544061302680614e-09	8.838037983175231188e-13	1.995764347922896023e-13	8.000000000000000444e-01
1.277139208173690749e-08	5.005899368824777193e-13	1.138220548979931951e-13	8.000000000000000444e-01
1.596424010217113601e-08	3.279364284530055089e-13	7.392015925132091626e-14	8.000000000000000444e-01
1.915708812260536123e-08	2.196861310614678570e-13	5.077997880323250889e-14	8.000000000000000444e-01
2.234993614303958975e-08	1.606168347299371640e-13	3.682407688180363183e-14	8.000000000000000444e-01
2.554278416347381828e-08	1.250612756337125166e-13	2.871842185031367142e-14	8.000000000000000444e-01
2.873563218390804350e-08	9.842438092488154579e-14	2.279822894156278540e-14	8.000000000000000444e-01
3.192848020434226541e-08	7.695417452831526511e-14	1.780138813971650851e-14	8.000000000000000444e-01
3.512132822477649062e-08	6.728124520844108438e-14	1.582044659375198571e-14	8.000000000000000444e-01
3.831417624521072246e-08	5.396274038922906679e-14	1.294984313876537356e-14	8.000000000000000444e-01
4.150702426564494767e-08	4.610409726578077072e-14	1.041481648162633352e-14	8.000000000000000444e-01
4.469987228607917289e-08	4.112007352566213295e-14	9.314764905529926606e-15	8.000000000000000444e-01
4.789272030651340473e-08	3.481150722324109699e-14	8.099987308214535413e-15	8.000000000000000444e-01
5.108556832694762994e-08	3.003278259821571339e-14	7.161361798334517952e-15	8.000000000000000444e-01
5.427841634738185516e-08	2.753198469425504126e-14	6.361327359829550086e-15	8.000000000000000444e-01
5.747126436781608038e-08	2.372472022672636238e-14	5.524548759798092268e-15	8.000000000000000444e-01
6.066411238825031221e-08	2.158568625342686679e-14	5.093897631208414047e-15	8.000000000000000444e-01
6.385696040868454405e-08	1.962213821200096552e-14	4.398842825268666094e-15	8.000000000000000444e-01
