8.717307110812069829e-29	7.817406566448830656e-29	1.115114972812784266e+00
8.282534541862886474e-29	8.060028406873907703e-29	1.027606122926219001e+00
9.035694262866791557e-29	7.744031907723671103e-29	1.166794554895216107e+00
8.441307405097648340e-29	8.015609787602604487e-29	1.053108575488973075e+00
8.173206053800118968e-29	8.168281894622022962e-29	1.000602839035383607e+00
8.666948081854847072e-29	7.750797247430570935e-29	1.118200851496661929e+00
8.419575784339321307e-29	8.145340818245036731e-29	1.033667709211137709e+00
8.301753827571960688e-29	8.409620010732569647e-29	9.871734771579515622e-01
8.119251221652078015e-29	8.185044686766646267e-29	9.919617463761754017e-01
7.846653012850242796e-29	8.270488686736817642e-29	9.487532490593608703e-01
8.596552338885843603e-29	7.849021750047397336e-29	1.095238695042975552e+00
8.546580002799202283e-29	7.896711040441077703e-29	1.082296155833736284e+00
7.969140709403298144e-29	8.267711743253159733e-29	9.638871016404859660e-01
8.539025999492645752e-29	7.945501274949295672e-29	1.074699468794325652e+00
8.700563388208551053e-29	7.951494164301124633e-29	1.094204838540966618e+00
8.334503594156608126e-29	8.127042277611237083e-29	1.025527284030119501e+00
8.117901439288541421e-29	8.141895539690895078e-29	9.970530080758976954e-01
8.779822362076392308e-29	8.162364594887012549e-29	1.075646923144815359e+00
7.993209304092556144e-29	8.233080645380824457e-29	9.708649348135744983e-01
9.364934955163418427e-29	7.397946470979705034e-29	1.265883038205225963e+00
7.771557008355181379e-29	8.412733693755122865e-29	9.237849777800650752e-01
7.790400658987835503e-29	8.374671048743818338e-29	9.302336311055916518e-01
8.698707151313489694e-29	7.798371869378898475e-29	1.115451699023208842e+00
9.811216696848086707e-29	7.543933084197436626e-29	1.300543971870590232e+00
8.272660125726364980e-29	8.017905241849150154e-29	1.031773247025611129e+00
8.410496354997127572e-29	7.979729243825597787e-29	1.053982672595669801e+00
7.802588808885539773e-29	8.296073395521192416e-29	9.405158846711662024e-01
8.126602725395996721e-29	8.857208768984756958e-29	9.175128347265427697e-01
