J0024-2029_cw_p_phase	J0024-2029_cw_p_phase_ll	J0024-2029_cw_p_phase_ul	J0114+7148_cw_p_phase	J0114+7148_cw_p_phase_ll	J0114+7148_cw_p_phase_ul	J0234+0837_cw_p_phase	J0234+0837_cw_p_phase_ll	J0234+0837_cw_p_phase_ul	J0354-4032_cw_p_phase	J0354-4032_cw_p_phase_ll	J0354-4032_cw_p_phase_ul	J0444+4032_cw_p_phase	J0444+4032_cw_p_phase_ll	J0444+4032_cw_p_phase_ul	J0604-0837_cw_p_phase	J0604-0837_cw_p_phase_ll	J0604-0837_cw_p_phase_ul	J0724-7148_cw_p_phase	J0724-7148_cw_p_phase_ll	J0724-7148_cw_p_phase_ul	J0814+2029_cw_p_phase	J0814+2029_cw_p_phase_ll	J0814+2029_cw_p_phase_ul	J0934-2644_cw_p_phase	J0934-2644_cw_p_phase_ll	J0934-2644_cw_p_phase_ul	J1024+5812_cw_p_phase	J1024+5812_cw_p_phase_ll	J1024+5812_cw_p_phase_ul	J1144+0251_cw_p_phase	J1144+0251_cw_p_phase_ll	J1144+0251_cw_p_phase_ul	J1304-4835_cw_p_phase	J1304-4835_cw_p_phase_ll	J1304-4835_cw_p_phase_ul	J1354+3322_cw_p_phase	J1354+3322_cw_p_phase_ll	J1354+3322_cw_p_phase_ul	J1514-1428_cw_p_phase	J1514-1428_cw_p_phase_ll	J1514-1428_cw_p_phase_ul	J1724+1428_cw_p_phase	J1724+1428_cw_p_phase_ll	J1724+1428_cw_p_phase_ul	J1844-3322_cw_p_phase	J1844-3322_cw_p_phase_ll	J1844-3322_cw_p_phase_ul	J1934+4835_cw_p_phase	J1934+4835_cw_p_phase_ll	J1934+4835_cw_p_phase_ul	J2054-0251_cw_p_phase	J2054-0251_cw_p_phase_ll	J2054-0251_cw_p_phase_ul	J2214-5812_cw_p_phase	J2214-5812_cw_p_phase_ll	J2214-5812_cw_p_phase_ul	J2304+2644_cw_p_phase	J2304+2644_cw_p_phase_ll	J2304+2644_cw_p_phase_ul	cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
1.1384917614217887	nan	nan	1.2897609794052038	nan	nan	5.39516120072847	nan	nan	4.472055683849587	nan	nan	2.459959327337201	nan	nan	4.106083071945056	nan	nan	4.589523091733194	nan	nan	0.8106340440105274	nan	nan	2.540449578285538	nan	nan	5.562982824544555	nan	nan	2.0593821339573455	nan	nan	3.2626720749421523	nan	nan	3.833400234829827	nan	nan	0.1106791217359439	nan	nan	4.414700722270645	nan	nan	3.589280868683922	nan	nan	2.4244050605964698	nan	nan	0.02190658157192914	nan	nan	4.590316100487013	nan	nan	4.825785379710031	nan	nan	-0.5618287825741399	-0.5618287825741399	-0.5466518317182837	-0.00780873878735	-0.021606387325913273	0.007278409614630388	3.463359232025261	3.463359232025261	3.4715319636322475	9.273816714125962	9.253323850304179	9.29403076347398	-6.6338198763549485	-6.636007601102915	-6.631632151606982	-13.610848815151389	-13.680443055013953	-13.537133863718015	2.009065279496267	nan	nan	2.066360211623516	2.0398822798303993	2.066360211623516
4.301700782091993	nan	nan	5.747397843700609	nan	nan	5.597982732205249	nan	nan	3.0121811225254262	nan	nan	4.731199896577127	nan	nan	0.5834325701987139	nan	nan	3.5076699785071668	nan	nan	0.019728526520748347	nan	nan	3.647202238970673	nan	nan	2.202818463606566	nan	nan	5.481631318244312	nan	nan	0.57558276116437	nan	nan	6.26433861555373	nan	nan	0.020821902623590918	nan	nan	0.8851704206717601	nan	nan	5.451267489502499	nan	nan	0.03399150473228176	nan	nan	6.146700799135595	nan	nan	5.649550964997617	nan	nan	0.29399491316529325	nan	nan	-0.5338083724805949	nan	nan	0.34693764871879595	0.3261616841357169	0.36094658483767206	5.510327072690245	5.464707502512828	5.510327072690245	8.480461154041963	nan	nan	-7.65394909954121	nan	nan	-14.166860835331645	-14.168140531345488	-14.165360502074037	2.6879278032524865	nan	nan	1.9301788272062317	1.922326981104628	1.9412041277739
4.768533950730517	nan	nan	4.23301392960704	nan	nan	1.6304633501441563	nan	nan	5.785244518742212	nan	nan	0.4603036305976569	nan	nan	4.7000042435255045	nan	nan	0.7168932434268948	nan	nan	4.36973854717714	nan	nan	4.39213269876724	nan	nan	5.040282800765798	nan	nan	1.9535058463974997	nan	nan	5.541149576640158	nan	nan	0.7046125752632919	nan	nan	6.089357356153814	nan	nan	3.4884593246924145	nan	nan	4.526277889439907	nan	nan	1.511154150051438	nan	nan	0.5475240674327487	nan	nan	4.140477502054949	nan	nan	4.560745737684101	nan	nan	0.24042024260874184	0.24042024260874184	0.24149581920900884	-0.15529074175843727	nan	nan	4.406692457282611	4.3795016924317824	4.406692457282611	9.045047047949192	9.042957068988589	9.046070266815322	-6.517116967961266	nan	nan	-13.431843205577353	-13.49014534861405	-13.431843205577353	1.9696515303285196	nan	nan	0.01695329322061168	0.01695329322061168	0.09030135344509382
3.6232446733470596	nan	nan	5.718097236607883	nan	nan	3.294332551296538	nan	nan	1.2039577306782756	nan	nan	0.9235744833627496	nan	nan	3.408488583867977	nan	nan	1.2125139403961558	nan	nan	0.5169599565029909	nan	nan	0.26418312214682804	nan	nan	2.8321241997169375	nan	nan	1.8766744952931895	nan	nan	2.880710856552135	nan	nan	3.0196801808298543	nan	nan	2.5725667991635324	nan	nan	3.5662544873784037	nan	nan	2.1046312452826816	nan	nan	4.561270405796345	nan	nan	0.6587557781948252	nan	nan	0.29043165760593104	nan	nan	3.9123734908950896	nan	nan	-0.6997823220147473	nan	nan	0.0047364781050253605	-0.029774261728307883	0.0047364781050253605	3.5342984122772583	nan	nan	8.969224513522457	8.958347587627115	8.979189181116901	-7.308830150505986	-7.30904338048145	-7.308573978382686	-14.215068472300946	-14.251918312518335	-14.172535323393314	0.4429436672045317	0.4429436672045317	0.581168031547445	1.621865784056321	1.6148452844573478	1.629549637948111
5.83499236616287	nan	nan	2.663339802566272	nan	nan	0.01980446417128817	nan	nan	2.833651550843377	nan	nan	2.402256340483003	nan	nan	2.1074005966566762	nan	nan	1.1747759987824664	nan	nan	2.0317950849130706	nan	nan	1.171388953489937	nan	nan	5.245385184674609	nan	nan	2.2440159688686	nan	nan	5.5967589295144435	nan	nan	5.230226314022928	nan	nan	4.120515577661774	nan	nan	5.8102803679186446	nan	nan	2.7943599217603654	nan	nan	1.9130102159867772	nan	nan	0.32143863712844317	nan	nan	2.9028095541663927	nan	nan	4.764946854196886	nan	nan	-0.7722311319689379	nan	nan	-0.9958096692982259	-0.9983069911305607	-0.97401013080347	2.623549303431023	nan	nan	9.558684006965459	9.558684006965459	9.55948279725162	-6.7237693500446065	-6.727751662825996	-6.720149065697889	-14.368138832490533	-14.382779532079086	-14.351271667065932	3.615018322631944	3.4996827239327444	3.6741690881948035	2.2443733957161585	nan	nan
0.5632428997842305	0.02323348548236422	4.382014676991763	1.949368081892775	nan	nan	5.422551508779437	nan	nan	0.7701837603483324	nan	nan	2.9912583669428736	nan	nan	2.0623719307892148	nan	nan	6.265009242378051	nan	nan	0.6315275909342407	nan	nan	1.6135490668169639	nan	nan	1.1979701186632605	nan	nan	2.8190301348298	nan	nan	4.618253639995541	nan	nan	2.3642283240486224	nan	nan	3.4726601404631663	nan	nan	3.862525481785295	nan	nan	5.393770912818101	nan	nan	4.463565552547549	nan	nan	3.862409773235422	nan	nan	1.5292757633128502	nan	nan	5.904133691623028	nan	nan	0.44612802859579553	nan	nan	0.09580607252472284	0.0005510405179870448	0.1568108085193515	1.0449955781960056	nan	nan	8.83177996556279	nan	nan	-6.828128901692068	-6.828158205477119	-6.828092375727699	-14.299399831392165	-14.372822847715408	-14.220087268305024	2.312177292904237	nan	nan	2.2978419275298627	2.2651983668896687	2.329053753054258
4.997717098568341	nan	nan	4.388376633229688	nan	nan	0.5023288234986614	nan	nan	3.9729466199358936	nan	nan	2.147692173172418	nan	nan	4.442093003336646	nan	nan	0.8456496549081903	nan	nan	5.478179256736803	nan	nan	3.4451084218883303	nan	nan	1.6331194179103155	nan	nan	3.8692851066832454	nan	nan	0.9472541441255593	nan	nan	1.3069500786732875	nan	nan	0.06532851136413764	0.06532851136413764	0.3452416156239945	0.5385705576990572	nan	nan	2.6946168804395842	nan	nan	1.0840212387177655	nan	nan	1.5520907248831632	nan	nan	5.990758124594701	nan	nan	1.9938258468611918	nan	nan	-0.0020735875197283593	-0.012811038862006685	0.00914878097994315	0.9979753332541678	nan	nan	2.9737736564048007	nan	nan	9.170369100065031	9.15363921015898	9.187440416295697	-7.026413873399153	nan	nan	-14.227287779050624	-14.301731142965032	-14.15908517618293	4.649523126308194	nan	nan	0.6956197234423858	nan	nan
0.01972494599912958	nan	nan	5.785524871847086	nan	nan	1.7915703048175236	nan	nan	1.9132583519398632	nan	nan	1.5104982590340752	nan	nan	0.020386136196119207	nan	nan	4.4554729920252605	nan	nan	1.3114452801949619	nan	nan	3.7166914013621217	nan	nan	5.015699575222607	nan	nan	3.3412558007503983	nan	nan	2.0279772376620593	nan	nan	4.726887060650091	nan	nan	1.338484914043082	nan	nan	5.845234615781238	nan	nan	0.022057158549671392	nan	nan	2.21908578127737	nan	nan	6.2664134452256155	nan	nan	0.01987838540593198	nan	nan	0.7719485344033352	nan	nan	-0.4396688891170744	-0.4571194233500768	-0.4220980063721202	-0.010763731833248413	-0.03604399315758933	0.022654695807832304	3.245059533727213	3.2277592213981143	3.2593734826185505	9.416447671012119	9.404766101059254	9.416447671012119	-6.658188671475098	-6.659918085445984	-6.656417834415089	-13.792224816038976	-13.825645794516959	-13.754513306540172	5.706717669245597	5.562967264557439	6.036606418465858	0.3713248365223219	0.3713248365223219	0.4210393553839586
3.711850559686364	nan	nan	2.1880940330278094	nan	nan	2.6930553602729637	nan	nan	4.010752409764789	nan	nan	5.906313612918604	nan	nan	1.0554388867478932	nan	nan	3.567543142534338	nan	nan	4.064629360361089	nan	nan	1.4421612369138825	nan	nan	0.02001457309189582	nan	nan	0.4718328577283947	nan	nan	4.946642887386528	nan	nan	2.5109912365645686	nan	nan	5.251670886800451	nan	nan	4.612399168653042	nan	nan	3.713708645030562	nan	nan	2.1482854412270767	nan	nan	4.815275259816985	nan	nan	5.808388525991256	nan	nan	5.061525727314457	nan	nan	-0.269864439668827	nan	nan	0.8119352878925301	0.7496757596097173	0.854555225139789	4.301380779636979	4.301380779636979	4.324089576672222	8.939945387452205	8.939945387452205	8.948294144072499	-6.779610593634368	nan	nan	-14.321270597455973	-14.402715154723955	-14.24772117584152	4.489973109513348	nan	nan	2.3634207180156155	nan	nan
2.4838414442396726	nan	nan	3.550033944617672	nan	nan	5.6061450565243005	nan	nan	3.7923596648220332	nan	nan	1.656385446807547	nan	nan	0.7698809194754117	nan	nan	0.9829739302209872	nan	nan	0.8983713794431838	nan	nan	4.045501286944474	nan	nan	0.9851535506794588	nan	nan	5.962588389502634	nan	nan	1.264691266744054	nan	nan	0.8120948372917234	nan	nan	0.34954399912672196	nan	nan	2.6039934673794325	nan	nan	5.638753538155741	nan	nan	1.2564645104663612	nan	nan	0.8419392086305842	nan	nan	4.277943581711938	nan	nan	1.3805924718391716	nan	nan	0.2460665201675699	nan	nan	-0.009186307474503032	-0.009186307474503032	0.02080683868447136	3.923776052575753	3.8736445229611007	3.923776052575753	9.082624210647657	nan	nan	-6.709864569192211	-6.725455517686058	-6.709864569192211	-13.630184255245714	-13.660268525972263	-13.596136787177944	1.6824202838005622	nan	nan	2.5074468971659405	2.4968106825011356	2.5181281805369524
