cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
-0.06505817583036033	-0.07643014774387424	-0.05582275621574917	-0.009833873132166762	-0.009833873132166762	0.010483592754045352	1.3520821251156079	1.2795398779394975	1.4270917956650555	9.765201104704863	nan	nan	-8.097087193024914	-8.122815162209614	-8.067603315930038	-11.099649466262541	-11.157545788655135	-11.099649466262541	3.7462450313837405	3.6123543096419666	3.894500547158539	0.5295815879968984	0.49170619567989626	0.5677181899160867
-0.0767186300237847	-0.0767186300237847	-0.06488532602360021	-0.007197106866972169	nan	nan	1.3456412796785588	1.3456412796785588	1.35666752026417	8.5225201827547	nan	nan	-8.478178648253643	-8.478178648253643	-8.47015228466843	-11.423521095172575	-11.483638769923322	-11.423521095172575	0.009854354687034094	0.009854354687034094	0.07975264236287766	2.0928217158613456	2.072298409166729	2.1215330775584778
-0.0910015735576315	-0.1100950772709407	-0.0710488621772235	0.0037419823510813632	nan	nan	1.3780934953251245	1.263930619663212	1.492256370987037	8.426855982015109	nan	nan	-8.49609689874006	-8.49609689874006	-8.478916734424654	-11.479975444007799	-11.541182805418124	-11.479975444007799	5.196219334822572	nan	nan	0.5277463150823855	nan	nan
0.031476517570035244	nan	nan	-0.0029917340074885335	-0.031644963159268125	0.02648015883434187	1.347758830860997	1.347758830860997	1.4161822368084624	8.713710528680899	8.336124747749796	9.828175142750847	-7.532108103257055	-7.536780586161144	-7.5274033963329385	-11.31609986602522	-11.370076671711196	-11.274016254812427	6.281509089571189	6.251418209378029	6.281509089571189	2.057930455598115	2.046606707730538	2.07079593439602
-0.026469306701374262	-0.04370918281506486	-0.008769700557985094	-0.0004237560174938926	-0.016384505759260426	0.01480195919669125	1.3880289749506947	1.3045009534070358	1.4721175872429684	9.23963073883724	nan	nan	-7.795286562469345	-7.795286562469345	-7.776408379110681	-11.006585124593812	-11.041544883741892	-11.006585124593812	3.7664582319413955	nan	nan	2.080631154147312	2.0755132980750104	2.080631154147312
0.04241366741298537	0.033804042742913126	0.04972288002351545	0.0008790911749891883	-0.020557308070512592	0.022171621969178767	1.3746110077242024	1.360671985415349	1.3859089521219046	9.392400161291553	nan	nan	-7.60359139801866	-7.60359139801866	-7.584460373737393	-11.006909499107442	-11.050055707464402	-11.006909499107442	0.47731682116066687	0.29463346986744415	0.6641054163031755	0.4844716218838187	0.4844716218838187	0.49933528395389876
0.07827472992554388	0.06362603014741137	0.09501610110055245	-0.9991978729714536	-0.9991978729714536	-0.995616402239298	1.9015616010128378	1.8929473389937586	1.9015616010128378	9.994680093330484	nan	nan	-7.097123186678607	-7.107607343834278	-7.0865677087259575	-11.010678617325157	-11.068185398651146	-11.010678617325157	2.944203804907675	nan	nan	2.4406635498227534	nan	nan
0.04518784129774538	0.04518784129774538	0.06156915652369079	-0.018690079646426327	-0.06363330886135421	0.015514501879978937	1.8858739373781934	nan	nan	8.560748770756078	nan	nan	-7.171823626209154	-7.171823626209154	-7.1612152007402665	-11.005540617978278	-11.036215586264758	-11.005540617978278	6.266593667936665	5.849924275929316	6.266593667936665	2.3523612637207094	nan	nan
-0.06469909843516794	-0.07416851451334257	-0.050984771701259854	0.0015522045420246836	-0.026283818172748448	0.025869919553071843	1.3660041538337555	1.3502672713231125	1.3801294278945133	9.00992627420988	nan	nan	-7.951868784663919	-7.964911387164342	-7.94004892614791	-11.75361621062524	nan	nan	2.051439112292323	nan	nan	2.096702097281032	2.083581234752783	2.110805579469987
-0.026433706376171727	-0.039140637271863045	-0.013677332169602228	-0.0035969656966552965	nan	nan	1.3874846432521444	nan	nan	8.885628663192849	nan	nan	-7.820517307825	-7.8316302423121416	-7.795744724697412	-11.079476373433943	nan	nan	3.2696780710729225	nan	nan	2.077377684871775	2.0448367180263953	2.111525613042853
-0.08031570644503233	-0.08928315086879485	-0.07292149788508778	0.0035200229821935464	-0.004911351654187969	0.011507641058765505	1.3767625439772917	1.3717683139969479	1.3825134754698087	9.946769194615717	nan	nan	-8.475724034321454	nan	nan	-11.611153071538089	-11.643525988493792	-11.611153071538089	4.493943095175458	4.481728736027994	4.506081114578252	0.5306360894164946	0.49154214623079945	0.5713477130098739
-0.06897839841942188	-0.09885787456280792	-0.04210761952658513	0.0036837007951018297	-0.02548054918991327	0.02656104659173042	1.356163575264937	1.339951814599582	1.356163575264937	8.006302349821336	nan	nan	-8.04294645684196	-8.04294645684196	-8.038771944116228	-11.13512494689311	-11.211331810895896	-11.097988607074495	0.9697405310987743	0.7289664468391883	1.211353549449857	0.5275436010651835	0.512486278091949	0.5425158544171
-0.07304497568279933	-0.0902500413983495	-0.05978273752706276	0.0017994154794725992	-0.021322686673564628	0.024611153845220723	1.3552724638524913	1.3402793686014731	1.3674702362600992	8.67542891631679	nan	nan	-8.148054442512713	-8.16080016906452	-8.135391480419033	-11.322222038511143	-11.370931917010921	-11.322222038511143	0.003047838954952536	0.003047838954952536	0.03538035366306959	0.5282051018818561	0.5282051018818561	0.533947627671437
-0.07459722172087549	-0.07459722172087549	-0.06763646417781367	-0.004707060556881859	nan	nan	1.3568365508687077	1.3568365508687077	1.3728662141339218	8.398284944679828	8.006363373535702	9.492921296353302	-8.115343621863266	nan	nan	-11.058027685483431	-11.091223097937283	-11.058027685483431	0.8131645319824141	nan	nan	2.1025807386708766	nan	nan
0.1936854996938665	0.16471492914263364	0.22169677982949565	0.9961495308347106	0.9762895899987689	0.9961495308347106	1.7824046983542823	1.7354158037339527	1.8287670743796742	8.94302148000751	nan	nan	-6.897929086763552	-6.900610544224433	-6.892817558478749	-11.00620238195099	-11.041198240102228	-11.00620238195099	2.4283650996375084	nan	nan	3.058732689414529	nan	nan
