J0000+0000_cw_p_phase	J0000+0000_cw_p_phase_ll	J0000+0000_cw_p_phase_ul	J0224+0000_cw_p_phase	J0224+0000_cw_p_phase_ll	J0224+0000_cw_p_phase_ul	J0448+0000_cw_p_phase	J0448+0000_cw_p_phase_ll	J0448+0000_cw_p_phase_ul	J0712+0000_cw_p_phase	J0712+0000_cw_p_phase_ll	J0712+0000_cw_p_phase_ul	J0936+0000_cw_p_phase	J0936+0000_cw_p_phase_ll	J0936+0000_cw_p_phase_ul	J1200+0000_cw_p_phase	J1200+0000_cw_p_phase_ll	J1200+0000_cw_p_phase_ul	J1424+0000_cw_p_phase	J1424+0000_cw_p_phase_ll	J1424+0000_cw_p_phase_ul	J1648+0000_cw_p_phase	J1648+0000_cw_p_phase_ll	J1648+0000_cw_p_phase_ul	J1912+0000_cw_p_phase	J1912+0000_cw_p_phase_ll	J1912+0000_cw_p_phase_ul	J2136+0000_cw_p_phase	J2136+0000_cw_p_phase_ll	J2136+0000_cw_p_phase_ul	cos_gwtheta	cos_gwtheta_ll	cos_gwtheta_ul	cos_inc	cos_inc_ll	cos_inc_ul	gwphi	gwphi_ll	gwphi_ul	log10_Mc	log10_Mc_ll	log10_Mc_ul	log10_fgw	log10_fgw_ll	log10_fgw_ul	log10_h	log10_h_ll	log10_h_ul	phase0	phase0_ll	phase0_ul	psi	psi_ll	psi_ul
3.1332373940044613	nan	nan	3.1330512022482075	nan	nan	0.009862972705511357	nan	nan	0.38883322436890344	nan	nan	2.7428129370980043	nan	nan	1.0313988168290873	nan	nan	1.3018270327273975	nan	nan	3.1331041206478556	nan	nan	0.95622737828914	nan	nan	0.7606327657993484	nan	nan	0.6637224003049285	0.6169867534500932	0.6951287549913778	0.009615257937384047	nan	nan	0.2476522801794596	0.2476522801794596	0.29943389720188596	9.32196082280231	9.284116465267383	9.344204037026921	-6.772254656967362	nan	nan	-12.606475187243678	nan	nan	4.556234190917159	nan	nan	2.5559053354842844	nan	nan
1.6013408267897546	nan	nan	3.1324048196485688	nan	nan	1.7830100208215034	nan	nan	2.968008268217277	nan	nan	0.37036045588205474	nan	nan	0.3560183499479194	0.1340323449741309	1.7013596937342126	0.5059505941639673	nan	nan	1.1063122757475323	0.4816799688972835	2.142577272812095	3.133246817854587	nan	nan	3.1332893693803285	nan	nan	-0.9951811970589262	-0.9951811970589262	-0.9557416096797325	-0.21474725182539678	-0.2528749739856643	-0.1752517190046713	5.680296912023083	nan	nan	8.316099666970768	nan	nan	-7.657462493581032	-7.657462493581032	-7.644407954609546	-13.24448495013384	-13.322717665838148	-13.15878057057013	1.1574021735620803	nan	nan	0.13191172030534945	nan	nan
0.5502513461454955	nan	nan	2.6052021849551283	2.463514286561928	2.8892021575053763	2.2446299282036595	2.0066866775519645	2.6071215991183503	1.8363330562051754	1.4571541706536422	2.167331997217856	2.532755986070256	1.8898273923165396	2.9046491163085637	0.8511034672727995	0.34986007569387123	1.2114990273239417	0.6112255637855267	nan	nan	1.1038251967608164	nan	nan	0.779288646476845	0.4501539676314903	0.9591283336868541	1.544782302187349	1.4285150267249507	1.7231049290374165	0.7449214750305564	0.7223456224879414	0.7449214750305564	-0.2719347174622384	nan	nan	5.694872791369597	5.631522052746493	5.694872791369597	9.257385289332994	9.211671648174848	9.310717870684165	-6.726875717103758	nan	nan	-12.75915571436718	nan	nan	1.1365016104969565	nan	nan	0.30813187424823246	nan	nan
2.351040543130898	2.156540455299558	2.5062035345469105	0.31012483377451905	0.22723691569089982	0.40390313525598603	3.102998991791103	3.0205409272190535	3.1329837425445755	0.756842778226416	0.6667919703288312	0.8131632147809191	2.3117444792054553	nan	nan	0.9664577007715458	0.7373052720123509	1.12774575639821	2.3373535777354357	2.1701030447950145	2.661245468019311	0.25022311276888076	nan	nan	3.0130037172899735	2.8512057751558864	3.133258944551795	0.08514852367951624	nan	nan	0.2130701647268275	nan	nan	-0.3310443811745172	nan	nan	1.2374502892097958	1.1830854777384878	1.2476006812250084	8.137538480000233	8.107807947599447	8.174489284555497	-7.714927729685501	-7.725160931987567	-7.714927729685501	-12.887889640336931	nan	nan	0.020106558444884993	nan	nan	0.8540232139538342	nan	nan
1.9170410050638083	nan	nan	3.1332848697379934	nan	nan	3.1329410284633576	nan	nan	1.196327008607419	nan	nan	2.997562243873223	nan	nan	1.6917551486819755	nan	nan	1.6767301184830337	1.1520789653388421	3.132949360811227	3.133191638868377	nan	nan	1.1358453088138216	nan	nan	0.7306308265074839	nan	nan	-0.950689959773074	-0.9514284045630494	-0.948717617919507	0.2859278913959694	nan	nan	1.7247326530609393	nan	nan	9.01395434220308	8.999751723995638	9.02395061007034	-6.884753800435666	-6.885631312718219	-6.88433897644755	-12.777859352565304	-12.831201474303246	-12.747844689313343	6.266582980324239	nan	nan	1.0142700452732445	nan	nan
1.0670251398287038	nan	nan	0.5441221907164565	nan	nan	0.0099544175005897	nan	nan	3.133293500353314	nan	nan	3.0729641232755456	nan	nan	2.6972622608133037	2.3911693802384164	3.1329761061214345	0.4003530917510538	0.068771627119055	0.9764056362388482	3.0732790305413458	nan	nan	1.5926902962765734	0.9100257603842445	2.016081984138184	2.036383668413155	nan	nan	-0.7882732010916782	-0.8212458597933031	-0.676301203111757	0.2047050871401822	nan	nan	0.6323899189875948	0.6323899189875948	0.7360711918205207	8.391564979942917	8.356985503744859	8.424916782429802	-7.709296040378559	-7.709296040378559	-7.694994496823351	-13.19325535164817	nan	nan	4.58228681191748	nan	nan	0.7860165627731668	0.7431533228514029	0.8426056716586415
1.0131658737065075	0.7651012797491736	1.7024700571600768	3.05796905361281	nan	nan	1.9019049284263465	nan	nan	1.5728759410486166	nan	nan	0.19010926429017064	0.009871342351524433	1.82880621141346	0.6857663735568287	nan	nan	2.7274353705252503	nan	nan	1.0465094160339468	nan	nan	0.00993271620534949	0.00993271620534949	0.6496489912144043	0.009897562374720698	0.009897562374720698	0.3415840566420434	-0.4162680612552226	nan	nan	0.0028373019558569496	-0.04216555615586677	0.04118846741365384	5.487858067023003	5.458689261042025	5.487858067023003	9.512014419534012	9.493296122671065	9.528739564416181	-7.500413774322534	nan	nan	-13.256502746777905	-13.327912932858863	-13.256502746777905	2.5402303812217877	nan	nan	2.5710512730879627	2.498552598591113	2.6367045791773847
1.7066927192678258	nan	nan	1.1808940875932643	nan	nan	0.32508138467082404	nan	nan	1.9668850996366736	nan	nan	1.429973545326456	nan	nan	2.892667164751688	nan	nan	1.9170098238662219	1.156440545360202	2.8487462336335554	1.0967373914543335	0.7999072805806207	1.2081585224750166	0.009964990876287862	nan	nan	0.8209771301471304	0.44147519672214863	1.142070124024399	0.5135011030302319	0.5063045420481508	0.5135011030302319	-0.047393382795070216	-0.07730808363686525	-0.01871143061433822	0.6386802918636537	0.6386802918636537	0.6964824767233748	9.261688112881181	9.22903959393841	9.294558730592271	-7.0039601378227125	nan	nan	-12.819185208860121	-12.860906750362194	-12.76980052708216	4.833756812765985	nan	nan	2.288720588591512	2.278325388818986	2.3004700925597548
2.4271532574584196	nan	nan	0.6261785883747653	0.3358416166934597	2.248631536576642	0.010172864173174869	nan	nan	2.6677958064819847	nan	nan	3.133235120241431	nan	nan	0.29521861712717506	nan	nan	2.202011596203452	0.9678218759224391	2.7112903884913444	0.6253012262839919	nan	nan	2.968021630077649	nan	nan	0.010057685475945757	nan	nan	0.3948987511027252	nan	nan	-0.09780531984525942	nan	nan	4.965726268517342	nan	nan	8.967735462796844	nan	nan	-7.731871673999326	-7.736304036854754	-7.728285942251114	-13.317828245892919	-13.360572701227884	-13.286018418666897	6.266540199696937	nan	nan	2.5026318965639662	nan	nan
0.01027450372329568	nan	nan	0.010022953619109768	nan	nan	0.010104136451219822	nan	nan	1.3008594365269401	nan	nan	1.6610812737795793	nan	nan	0.3405719477694956	nan	nan	1.917127976900857	nan	nan	2.5456885510013776	nan	nan	3.133217033116448	nan	nan	2.8778522883128876	nan	nan	0.8007651822981532	0.7990137997934967	0.8007651822981532	-0.17936970253991102	nan	nan	0.13577266657053405	nan	nan	9.126757790821165	9.123407866600218	9.134079405501037	-7.483685016483512	nan	nan	-12.999317115821222	-13.065934424736275	-12.964790725609335	6.26659856728758	nan	nan	1.1496679761790072	1.1254217148033856	1.3236012261860701
