3.192848020434227285e-09	5.781741018656495655e-09	2.046058375904125536e-09	8.000000000000000444e-01
6.385696040868453743e-09	1.025427330081838087e-09	3.453677757851596116e-10	8.000000000000000444e-01
9.578544061302680614e-09	4.249685792229807716e-10	1.447315530896487868e-10	8.000000000000000444e-01
1.277139208173690749e-08	2.322839018693614419e-10	8.020637810621310857e-11	8.000000000000000444e-01
1.596424010217113601e-08	1.469695961516458426e-10	4.991522633204648371e-11	8.000000000000000444e-01
1.915708812260536123e-08	1.015487356967880493e-10	3.509150878842282245e-11	8.000000000000000444e-01
2.234993614303958975e-08	7.443350563623941862e-11	2.544195865651046031e-11	8.000000000000000444e-01
2.554278416347381828e-08	5.675439883306316911e-11	1.919807938232501326e-11	8.000000000000000444e-01
2.873563218390804350e-08	4.468034392741575359e-11	1.567142163139669916e-11	8.000000000000000444e-01
3.192848020434226541e-08	3.608802373377298435e-11	1.225007276681224370e-11	8.000000000000000444e-01
3.512132822477649062e-08	2.974773520526880313e-11	1.007748239700312602e-11	8.000000000000000444e-01
3.831417624521072246e-08	2.492659525430850807e-11	8.497480538375631833e-12	8.000000000000000444e-01
4.150702426564494767e-08	2.116922437767818650e-11	7.135424797754533659e-12	8.000000000000000444e-01
4.469987228607917289e-08	1.819334192929569756e-11	6.117897689754389369e-12	8.000000000000000444e-01
4.789272030651340473e-08	1.580573114643210284e-11	5.336270893808932329e-12	8.000000000000000444e-01
5.108556832694762994e-08	1.376621405240122624e-11	4.694091111107693148e-12	8.000000000000000444e-01
5.427841634738185516e-08	1.221027671979766532e-11	4.238747307026667814e-12	8.000000000000000444e-01
5.747126436781608038e-08	1.087581712741067770e-11	3.773423604547069129e-12	8.000000000000000444e-01
6.066411238825031221e-08	9.705373465500129811e-12	3.352451660058833369e-12	8.000000000000000444e-01
6.385696040868454405e-08	8.757457845215778074e-12	3.021268074020332003e-12	8.000000000000000444e-01
